,sal,rooz,Month,chehrig_olia_EV
0,1363,1,1,
1,1363,2,1,
2,1363,3,1,
3,1363,4,1,
4,1363,5,1,
5,1363,6,1,
6,1363,7,1,
7,1363,8,1,1.1
8,1363,9,1,0.7
9,1363,10,1,1.8
10,1363,11,1,3.4
11,1363,12,1,3.4
12,1363,13,1,0.7
13,1363,14,1,1.9
14,1363,15,1,2.3
15,1363,16,1,1.1
16,1363,17,1,
17,1363,18,1,1.1
18,1363,19,1,1.1
19,1363,20,1,2.3
20,1363,21,1,3.4
21,1363,22,1,9.1
22,1363,23,1,11.4
23,1363,24,1,6.8
24,1363,25,1,3.4
25,1363,26,1,3.4
26,1363,27,1,5.7
27,1363,28,1,5.7
28,1363,29,1,6.8
29,1363,30,1,6.8
30,1363,31,1,0.4
1581,1363,1,2,3.4
1582,1363,2,2,4.7
1583,1363,3,2,0.5
1584,1363,4,2,3.4
1585,1363,5,2,4.5
1586,1363,6,2,2.1
1587,1363,7,2,2.4
1588,1363,8,2,3.4
1589,1363,9,2,2.3
1590,1363,10,2,5.2
1591,1363,11,2,8.0
1592,1363,12,2,6.8
1593,1363,13,2,6.8
1594,1363,14,2,6.8
1595,1363,15,2,6.8
1596,1363,16,2,8.0
1597,1363,17,2,5.7
1598,1363,18,2,5.7
1599,1363,19,2,5.7
1600,1363,20,2,6.8
1601,1363,21,2,8.0
1602,1363,22,2,10.2
1603,1363,23,2,10.2
1604,1363,24,2,5.7
1605,1363,25,2,8.5
1606,1363,26,2,7.0
1607,1363,27,2,4.4
1608,1363,28,2,5.7
1609,1363,29,2,5.7
1610,1363,30,2,8.0
1611,1363,31,2,3.7
3162,1363,1,3,5.5
3163,1363,2,3,5.5
3164,1363,3,3,6.8
3165,1363,4,3,6.5
3166,1363,5,3,5.5
3167,1363,6,3,3.4
3168,1363,7,3,4.5
3169,1363,8,3,7.3
3170,1363,9,3,9.1
3171,1363,10,3,8.0
3172,1363,11,3,10.2
3173,1363,12,3,8.0
3174,1363,13,3,8.0
3175,1363,14,3,6.8
3176,1363,15,3,8.0
3177,1363,16,3,8.0
3178,1363,17,3,9.1
3179,1363,18,3,2.9
3180,1363,19,3,4.5
3181,1363,20,3,8.0
3182,1363,21,3,8.0
3183,1363,22,3,8.0
3184,1363,23,3,9.1
3185,1363,24,3,8.0
3186,1363,25,3,8.1
3187,1363,26,3,7.0
3188,1363,27,3,8.0
3189,1363,28,3,10.2
3190,1363,29,3,12.5
3191,1363,30,3,11.4
3192,1363,31,3,8.0
4743,1363,1,4,11.4
4744,1363,2,4,11.4
4745,1363,3,4,10.2
4746,1363,4,4,12.5
4747,1363,5,4,13.6
4748,1363,6,4,11.4
4749,1363,7,4,8.0
4750,1363,8,4,8.0
4751,1363,9,4,9.1
4752,1363,10,4,10.2
4753,1363,11,4,6.8
4754,1363,12,4,8.0
4755,1363,13,4,10.2
4756,1363,14,4,12.5
4757,1363,15,4,14.8
4758,1363,16,4,13.6
4759,1363,17,4,10.2
4760,1363,18,4,9.1
4761,1363,19,4,10.2
4762,1363,20,4,6.8
4763,1363,21,4,6.8
4764,1363,22,4,9.1
4765,1363,23,4,9.1
4766,1363,24,4,11.4
4767,1363,25,4,8.0
4768,1363,26,4,6.8
4769,1363,27,4,8.0
4770,1363,28,4,9.1
4771,1363,29,4,6.2
4772,1363,30,4,9.1
4773,1363,31,4,6.8
6324,1363,1,5,5.7
6325,1363,2,5,9.1
6326,1363,3,5,8.0
6327,1363,4,5,8.0
6328,1363,5,5,6.8
6329,1363,6,5,8.0
6330,1363,7,5,8.0
6331,1363,8,5,6.8
6332,1363,9,5,5.7
6333,1363,10,5,6.8
6334,1363,11,5,9.1
6335,1363,12,5,9.1
6336,1363,13,5,9.1
6337,1363,14,5,12.5
6338,1363,15,5,12.5
6339,1363,16,5,11.4
6340,1363,17,5,9.1
6341,1363,18,5,10.2
6342,1363,19,5,10.2
6343,1363,20,5,10.2
6344,1363,21,5,10.2
6345,1363,22,5,9.1
6346,1363,23,5,12.5
6347,1363,24,5,9.1
6348,1363,25,5,10.2
6349,1363,26,5,8.0
6350,1363,27,5,6.8
6351,1363,28,5,9.1
6352,1363,29,5,9.1
6353,1363,30,5,11.4
6354,1363,31,5,13.6
7905,1363,1,6,9.1
7906,1363,2,6,8.0
7907,1363,3,6,10.2
7908,1363,4,6,8.0
7909,1363,5,6,9.1
7910,1363,6,6,10.2
7911,1363,7,6,11.4
7912,1363,8,6,8.0
7913,1363,9,6,11.4
7914,1363,10,6,13.6
7915,1363,11,6,9.1
7916,1363,12,6,9.1
7917,1363,13,6,9.1
7918,1363,14,6,10.2
7919,1363,15,6,8.0
7920,1363,16,6,8.0
7921,1363,17,6,8.0
7922,1363,18,6,8.0
7923,1363,19,6,9.1
7924,1363,20,6,10.2
7925,1363,21,6,9.1
7926,1363,22,6,9.1
7927,1363,23,6,9.1
7928,1363,24,6,8.0
7929,1363,25,6,8.0
7930,1363,26,6,6.8
7931,1363,27,6,6.8
7932,1363,28,6,6.8
7933,1363,29,6,6.8
7934,1363,30,6,6.8
7935,1363,31,6,9.1
9486,1363,1,7,
9487,1363,2,7,
9488,1363,3,7,
9489,1363,4,7,
9490,1363,5,7,
9491,1363,6,7,
9492,1363,7,7,
9493,1363,8,7,
9494,1363,9,7,7.9
9495,1363,10,7,10.1
9496,1363,11,7,9.6
9497,1363,12,7,9.8
9498,1363,13,7,7.0
9499,1363,14,7,5.3
9500,1363,15,7,4.2
9501,1363,16,7,3.4
9502,1363,17,7,3.6
9503,1363,18,7,5.2
9504,1363,19,7,5.7
9505,1363,20,7,4.6
9506,1363,21,7,6.3
9507,1363,22,7,6.8
9508,1363,23,7,6.1
9509,1363,24,7,5.2
9510,1363,25,7,8.0
9511,1363,26,7,4.4
9512,1363,27,7,1.5
9513,1363,28,7,2.6
9514,1363,29,7,2.6
9515,1363,30,7,2.6
9516,1363,31,7,
11067,1363,1,8,3.1
11068,1363,2,8,3.0
11069,1363,3,8,3.5
11070,1363,4,8,3.4
11071,1363,5,8,3.4
11072,1363,6,8,2.2
11073,1363,7,8,3.4
11074,1363,8,8,2.7
11075,1363,9,8,3.1
11076,1363,10,8,0.9
11077,1363,11,8,1.3
11078,1363,12,8,4.3
11079,1363,13,8,3.1
11080,1363,14,8,2.3
11081,1363,15,8,1.7
11082,1363,16,8,2.9
11083,1363,17,8,3.2
11084,1363,18,8,0.9
11085,1363,19,8,2.6
11086,1363,20,8,1.7
11087,1363,21,8,1.5
11088,1363,22,8,0.1
11089,1363,23,8,
11090,1363,24,8,
11091,1363,25,8,
11092,1363,26,8,0.8
11093,1363,27,8,2.0
11094,1363,28,8,2.6
11095,1363,29,8,1.7
11096,1363,30,8,2.3
11097,1363,31,8,
12648,1363,1,9,3.1
12649,1363,2,9,5.2
12650,1363,3,9,1.1
12651,1363,4,9,3.5
12652,1363,5,9,2.3
12653,1363,6,9,
12654,1363,7,9,
12655,1363,8,9,
12656,1363,9,9,
12657,1363,10,9,
12658,1363,11,9,
12659,1363,12,9,
12660,1363,13,9,
12661,1363,14,9,
12662,1363,15,9,
12663,1363,16,9,
12664,1363,17,9,
12665,1363,18,9,
12666,1363,19,9,
12667,1363,20,9,
12668,1363,21,9,
12669,1363,22,9,
12670,1363,23,9,
12671,1363,24,9,
12672,1363,25,9,
12673,1363,26,9,
12674,1363,27,9,
12675,1363,28,9,
12676,1363,29,9,
12677,1363,30,9,
12678,1363,31,9,
14229,1363,1,10,
14230,1363,2,10,
14231,1363,3,10,
14232,1363,4,10,
14233,1363,5,10,
14234,1363,6,10,
14235,1363,7,10,
14236,1363,8,10,
14237,1363,9,10,
14238,1363,10,10,
14239,1363,11,10,
14240,1363,12,10,
14241,1363,13,10,
14242,1363,14,10,
14243,1363,15,10,
14244,1363,16,10,
14245,1363,17,10,
14246,1363,18,10,
14247,1363,19,10,
14248,1363,20,10,
14249,1363,21,10,
14250,1363,22,10,
14251,1363,23,10,
14252,1363,24,10,
14253,1363,25,10,
14254,1363,26,10,
14255,1363,27,10,
14256,1363,28,10,
14257,1363,29,10,
14258,1363,30,10,
14259,1363,31,10,
15810,1363,1,11,
15811,1363,2,11,
15812,1363,3,11,
15813,1363,4,11,
15814,1363,5,11,
15815,1363,6,11,
15816,1363,7,11,
15817,1363,8,11,
15818,1363,9,11,
15819,1363,10,11,
15820,1363,11,11,
15821,1363,12,11,
15822,1363,13,11,
15823,1363,14,11,
15824,1363,15,11,
15825,1363,16,11,
15826,1363,17,11,
15827,1363,18,11,
15828,1363,19,11,
15829,1363,20,11,
15830,1363,21,11,
15831,1363,22,11,
15832,1363,23,11,
15833,1363,24,11,
15834,1363,25,11,
15835,1363,26,11,
15836,1363,27,11,
15837,1363,28,11,
15838,1363,29,11,
15839,1363,30,11,
15840,1363,31,11,
17391,1363,1,12,
17392,1363,2,12,
17393,1363,3,12,
17394,1363,4,12,
17395,1363,5,12,
17396,1363,6,12,
17397,1363,7,12,
17398,1363,8,12,
17399,1363,9,12,
17400,1363,10,12,
17401,1363,11,12,
17402,1363,12,12,
17403,1363,13,12,
17404,1363,14,12,
17405,1363,15,12,
17406,1363,16,12,
17407,1363,17,12,
17408,1363,18,12,
17409,1363,19,12,
17410,1363,20,12,
17411,1363,21,12,
17412,1363,22,12,
17413,1363,23,12,
17414,1363,24,12,
17415,1363,25,12,
17416,1363,26,12,
17417,1363,27,12,
17418,1363,28,12,
17419,1363,29,12,
17420,1363,30,12,
17421,1363,31,12,
31,1364,1,1,
32,1364,2,1,
33,1364,3,1,
34,1364,4,1,
35,1364,5,1,
36,1364,6,1,
37,1364,7,1,
38,1364,8,1,
39,1364,9,1,
40,1364,10,1,
41,1364,11,1,
42,1364,12,1,
43,1364,13,1,
44,1364,14,1,
45,1364,15,1,
46,1364,16,1,
47,1364,17,1,
48,1364,18,1,
49,1364,19,1,
50,1364,20,1,
51,1364,21,1,
52,1364,22,1,
53,1364,23,1,
54,1364,24,1,1.1
55,1364,25,1,3.4
56,1364,26,1,3.1
57,1364,27,1,3.4
58,1364,28,1,3.4
59,1364,29,1,4.5
60,1364,30,1,2.4
61,1364,31,1,3.4
1612,1364,1,2,3.4
1613,1364,2,2,3.1
1614,1364,3,2,4.4
1615,1364,4,2,5.7
1616,1364,5,2,3.4
1617,1364,6,2,2.1
1618,1364,7,2,1.6
1619,1364,8,2,0.6
1620,1364,9,2,3.6
1621,1364,10,2,1.2
1622,1364,11,2,4.5
1623,1364,12,2,3.4
1624,1364,13,2,5.7
1625,1364,14,2,2.7
1626,1364,15,2,2.0
1627,1364,16,2,2.3
1628,1364,17,2,3.4
1629,1364,18,2,4.8
1630,1364,19,2,1.1
1631,1364,20,2,3.4
1632,1364,21,2,6.8
1633,1364,22,2,6.8
1634,1364,23,2,0.5
1635,1364,24,2,6.8
1636,1364,25,2,2.1
1637,1364,26,2,4.5
1638,1364,27,2,3.9
1639,1364,28,2,5.7
1640,1364,29,2,5.7
1641,1364,30,2,6.8
1642,1364,31,2,4.1
