,sal,rooz,Month,golman_abShirin_EV
0,1368,1,1,1.7
1,1368,2,1,1.7
2,1368,3,1,3.8
3,1368,4,1,3.7
4,1368,5,1,1.2
5,1368,6,1,2.6
6,1368,7,1,4.4
7,1368,8,1,3.5
8,1368,9,1,2.1
9,1368,10,1,4.8
10,1368,11,1,4.3
11,1368,12,1,0.4
12,1368,13,1,0.7
13,1368,14,1,0.2
14,1368,15,1,0.9
15,1368,16,1,2.6
16,1368,17,1,3.9
17,1368,18,1,3.5
18,1368,19,1,1.7
19,1368,20,1,2.6
20,1368,21,1,5.2
21,1368,22,1,5.2
22,1368,23,1,3.5
23,1368,24,1,4.4
24,1368,25,1,5.4
25,1368,26,1,3.5
26,1368,27,1,3.5
27,1368,28,1,4.4
28,1368,29,1,4.4
29,1368,30,1,4.4
30,1368,31,1,3.1
1333,1368,1,2,6.1
1334,1368,2,2,
1335,1368,3,2,3.5
1336,1368,4,2,4.8
1337,1368,5,2,6.1
1338,1368,6,2,2.6
1339,1368,7,2,4.4
1340,1368,8,2,4.4
1341,1368,9,2,3.4
1342,1368,10,2,3.5
1343,1368,11,2,3.1
1344,1368,12,2,4.4
1345,1368,13,2,4.4
1346,1368,14,2,5.2
1347,1368,15,2,3.5
1348,1368,16,2,7.9
1349,1368,17,2,5.2
1350,1368,18,2,5.9
1351,1368,19,2,5.2
1352,1368,20,2,6.1
1353,1368,21,2,3.5
1354,1368,22,2,4.4
1355,1368,23,2,
1356,1368,24,2,0.3
1357,1368,25,2,0.3
1358,1368,26,2,5.2
1359,1368,27,2,4.8
1360,1368,28,2,7.9
1361,1368,29,2,7.9
1362,1368,30,2,7.9
1363,1368,31,2,7.9
2666,1368,1,3,6.1
2667,1368,2,3,6.1
2668,1368,3,3,7.9
2669,1368,4,3,7.0
2670,1368,5,3,6.1
2671,1368,6,3,7.9
2672,1368,7,3,7.0
2673,1368,8,3,6.1
2674,1368,9,3,6.1
2675,1368,10,3,7.0
2676,1368,11,3,9.6
2677,1368,12,3,7.0
2678,1368,13,3,7.9
2679,1368,14,3,9.6
2680,1368,15,3,9.6
2681,1368,16,3,9.6
2682,1368,17,3,7.0
2683,1368,18,3,11.3
2684,1368,19,3,8.7
2685,1368,20,3,12.3
2686,1368,21,3,7.0
2687,1368,22,3,8.7
