,sal,rooz,Month,golman_abShoor_EV
0,1368,1,1,0.9
1,1368,2,1,1.7
2,1368,3,1,2.6
3,1368,4,1,2.6
4,1368,5,1,0.9
5,1368,6,1,1.7
6,1368,7,1,4.4
7,1368,8,1,2.2
8,1368,9,1,1.7
9,1368,10,1,3.9
10,1368,11,1,5.2
11,1368,12,1,0.4
12,1368,13,1,0.7
13,1368,14,1,0.2
14,1368,15,1,0.5
15,1368,16,1,1.7
16,1368,17,1,5.2
17,1368,18,1,2.6
18,1368,19,1,0.9
19,1368,20,1,1.7
20,1368,21,1,1.7
21,1368,22,1,3.5
22,1368,23,1,3.1
23,1368,24,1,3.5
24,1368,25,1,3.5
25,1368,26,1,2.6
26,1368,27,1,2.6
27,1368,28,1,3.5
28,1368,29,1,3.1
29,1368,30,1,3.9
30,1368,31,1,2.6
1178,1368,1,2,5.2
1179,1368,2,2,
1180,1368,3,2,2.6
1181,1368,4,2,3.1
1182,1368,5,2,5.2
1183,1368,6,2,2.6
1184,1368,7,2,2.6
1185,1368,8,2,2.6
1186,1368,9,2,1.7
1187,1368,10,2,2.6
1188,1368,11,2,1.5
1189,1368,12,2,3.5
1190,1368,13,2,3.5
1191,1368,14,2,3.5
1192,1368,15,2,2.6
1193,1368,16,2,8.7
1194,1368,17,2,4.4
1195,1368,18,2,4.5
1196,1368,19,2,3.5
1197,1368,20,2,5.2
1198,1368,21,2,1.7
1199,1368,22,2,2.6
1200,1368,23,2,0.9
1201,1368,24,2,0.3
1202,1368,25,2,0.3
1203,1368,26,2,4.4
1204,1368,27,2,3.5
1205,1368,28,2,5.7
1206,1368,29,2,6.1
1207,1368,30,2,5.2
1208,1368,31,2,4.4
2356,1368,1,3,2.6
2357,1368,2,3,7.0
2358,1368,3,3,5.2
2359,1368,4,3,9.6
2360,1368,5,3,5.2
2361,1368,6,3,6.1
2362,1368,7,3,4.4
2363,1368,8,3,7.9
2364,1368,9,3,4.4
2365,1368,10,3,5.2
2366,1368,11,3,5.2
2367,1368,12,3,5.2
2368,1368,13,3,3.5
2369,1368,14,3,6.1
2370,1368,15,3,6.1
2371,1368,16,3,6.1
2372,1368,17,3,5.2
2373,1368,18,3,6.1
2374,1368,19,3,5.2
2375,1368,20,3,8.7
2376,1368,21,3,4.4
2377,1368,22,3,7.9
2378,1368,23,3,2.6
2379,1368,24,3,6.1
2380,1368,25,3,6.1
2381,1368,26,3,4.4
2382,1368,27,3,4.6
2383,1368,28,3,4.4
2384,1368,29,3,6.1
2385,1368,30,3,6.1
2386,1368,31,3,7.9
3534,1368,1,4,2.6
3535,1368,2,4,7.0
3536,1368,3,4,5.2
3537,1368,4,4,9.6
3538,1368,5,4,5.2
3539,1368,6,4,6.1
3540,1368,7,4,4.4
3541,1368,8,4,7.9
3542,1368,9,4,4.4
3543,1368,10,4,5.2
3544,1368,11,4,5.2
3545,1368,12,4,5.2
3546,1368,13,4,3.5
3547,1368,14,4,6.1
3548,1368,15,4,6.1
3549,1368,16,4,6.1
3550,1368,17,4,5.2
3551,1368,18,4,6.1
3552,1368,19,4,5.2
3553,1368,20,4,8.7
3554,1368,21,4,4.4
3555,1368,22,4,7.9
3556,1368,23,4,2.6
3557,1368,24,4,6.1
3558,1368,25,4,6.1
3559,1368,26,4,4.4
3560,1368,27,4,4.6
3561,1368,28,4,4.4
3562,1368,29,4,6.1
3563,1368,30,4,6.1
3564,1368,31,4,7.9
4712,1368,1,5,8.3
4713,1368,2,5,8.9
4714,1368,3,5,5.7
4715,1368,4,5,4.4
4716,1368,5,5,7.0
4717,1368,6,5,7.0
4718,1368,7,5,10.0
4719,1368,8,5,6.6
4720,1368,9,5,2.6
4721,1368,10,5,4.6
4722,1368,11,5,4.8
4723,1368,12,5,4.0
4724,1368,13,5,7.2
4725,1368,14,5,4.4
4726,1368,15,5,4.2
4727,1368,16,5,2.6
4728,1368,17,5,4.4
4729,1368,18,5,4.4
4730,1368,19,5,5.7
4731,1368,20,5,1.3
4732,1368,21,5,4.9
4733,1368,22,5,4.4
4734,1368,23,5,3.0
4735,1368,24,5,3.4
4736,1368,25,5,5.8
4737,1368,26,5,4.9
4738,1368,27,5,4.4
4739,1368,28,5,5.2
4740,1368,29,5,3.9
4741,1368,30,5,2.6
4742,1368,31,5,3.3
5890,1368,1,6,3.3
5891,1368,2,6,3.9
5892,1368,3,6,5.5
5893,1368,4,6,6.6
5894,1368,5,6,3.6
5895,1368,6,6,5.2
5896,1368,7,6,4.7
5897,1368,8,6,3.5
5898,1368,9,6,3.9
5899,1368,10,6,3.9
5900,1368,11,6,4.7
5901,1368,12,6,6.6
5902,1368,13,6,3.2
5903,1368,14,6,3.5
5904,1368,15,6,3.2
5905,1368,16,6,3.7
5906,1368,17,6,3.8
5907,1368,18,6,4.8
5908,1368,19,6,3.9
5909,1368,20,6,3.9
5910,1368,21,6,2.9
5911,1368,22,6,3.9
5912,1368,23,6,3.8
5913,1368,24,6,3.9
5914,1368,25,6,3.7
5915,1368,26,6,3.1
5916,1368,27,6,3.0
5917,1368,28,6,2.6
5918,1368,29,6,4.4
5919,1368,30,6,5.2
5920,1368,31,6,4.4
7068,1368,1,7,4.0
7069,1368,2,7,2.6
7070,1368,3,7,3.8
7071,1368,4,7,2.4
7072,1368,5,7,3.1
7073,1368,6,7,4.4
7074,1368,7,7,2.6
7075,1368,8,7,2.6
7076,1368,9,7,4.4
7077,1368,10,7,6.1
7078,1368,11,7,6.1
7079,1368,12,7,5.2
