,index,sal,rooz,Month,pi_gale_EV
0,0,1362,1,1,0.2
1,1,1362,2,1,0.9
2,2,1362,3,1,1.5
3,3,1362,4,1,2.7
4,4,1362,5,1,2.2
5,5,1362,6,1,1.7
6,6,1362,7,1,2.6
7,7,1362,8,1,1.9
8,8,1362,9,1,4.8
9,9,1362,10,1,1.3
10,10,1362,11,1,2.4
11,11,1362,12,1,2.1
12,12,1362,13,1,3.8
13,13,1362,14,1,2.2
14,14,1362,15,1,9.1
15,15,1362,16,1,4.4
16,16,1362,17,1,4.2
17,17,1362,18,1,4.4
18,18,1362,19,1,7.4
19,19,1362,20,1,3.9
20,20,1362,21,1,5.2
21,21,1362,22,1,4.8
22,22,1362,23,1,6.1
23,23,1362,24,1,5.4
24,24,1362,25,1,7.0
25,25,1362,26,1,11.3
26,26,1362,27,1,6.5
27,27,1362,28,1,4.5
28,28,1362,29,1,4.2
29,29,1362,30,1,7.9
30,30,1362,31,1,8.2
31,1612,1362,1,2,1.3
32,1613,1362,2,2,1.5
33,1614,1362,3,2,2.2
34,1615,1362,4,2,0.3
35,1616,1362,5,2,2.8
36,1617,1362,6,2,3.6
37,1618,1362,7,2,4.8
38,1619,1362,8,2,5.2
39,1620,1362,9,2,5.2
40,1621,1362,10,2,3.8
41,1622,1362,11,2,2.6
42,1623,1362,12,2,3.1
43,1624,1362,13,2,2.6
44,1625,1362,14,2,4.8
45,1626,1362,15,2,3.4
46,1627,1362,16,2,0.5
47,1628,1362,17,2,3.6
48,1629,1362,18,2,4.3
49,1630,1362,19,2,3.9
50,1631,1362,20,2,4.8
51,1632,1362,21,2,2.1
52,1633,1362,22,2,1.4
53,1634,1362,23,2,3.8
54,1635,1362,24,2,4.4
55,1636,1362,25,2,2.4
56,1637,1362,26,2,4.5
57,1638,1362,27,2,1.5
58,1639,1362,28,2,5.4
59,1640,1362,29,2,4.4
60,1641,1362,30,2,4.7
61,1642,1362,31,2,4.1
62,3224,1362,1,3,3.0
63,3225,1362,2,3,2.5
64,3226,1362,3,3,2.8
65,3227,1362,4,3,3.1
66,3228,1362,5,3,4.4
67,3229,1362,6,3,5.7
68,3230,1362,7,3,10.3
69,3231,1362,8,3,2.1
70,3232,1362,9,3,3.8
71,3233,1362,10,3,3.8
72,3234,1362,11,3,2.9
73,3235,1362,12,3,3.9
74,3236,1362,13,3,4.7
75,3237,1362,14,3,8.1
76,3238,1362,15,3,10.7
77,3239,1362,16,3,8.2
78,3240,1362,17,3,5.4
79,3241,1362,18,3,6.6
80,3242,1362,19,3,6.3
81,3243,1362,20,3,9.8
82,3244,1362,21,3,11.5
83,3245,1362,22,3,7.7
84,3246,1362,23,3,5.5
85,3247,1362,24,3,8.3
86,3248,1362,25,3,9.6
87,3249,1362,26,3,7.4
88,3250,1362,27,3,6.6
89,3251,1362,28,3,5.2
90,3252,1362,29,3,7.5
91,3253,1362,30,3,9.0
92,3254,1362,31,3,12.2
93,4836,1362,1,4,7.7
94,4837,1362,2,4,5.2
95,4838,1362,3,4,34.3
96,4839,1362,4,4,7.6
97,4840,1362,5,4,7.3
98,4841,1362,6,4,7.9
99,4842,1362,7,4,7.6
100,4843,1362,8,4,7.7
101,4844,1362,9,4,7.6
102,4845,1362,10,4,6.2
103,4846,1362,11,4,7.7
104,4847,1362,12,4,7.6
105,4848,1362,13,4,8.9
106,4849,1362,14,4,7.6
107,4850,1362,15,4,8.8
108,4851,1362,16,4,10.0
109,4852,1362,17,4,8.0
110,4853,1362,18,4,8.7
111,4854,1362,19,4,8.2
112,4855,1362,20,4,5.4
113,4856,1362,21,4,5.7
114,4857,1362,22,4,12.2
115,4858,1362,23,4,11.8
116,4859,1362,24,4,14.3
117,4860,1362,25,4,10.0
118,4861,1362,26,4,9.8
119,4862,1362,27,4,8.9
120,4863,1362,28,4,8.2
121,4864,1362,29,4,10.1
122,4865,1362,30,4,8.0
123,4866,1362,31,4,7.5
124,6448,1362,1,5,8.7
125,6449,1362,2,5,8.7
126,6450,1362,3,5,10.5
127,6451,1362,4,5,12.2
128,6452,1362,5,5,10.0
129,6453,1362,6,5,12.5
130,6454,1362,7,5,13.0
131,6455,1362,8,5,15.6
132,6456,1362,9,5,15.2
133,6457,1362,10,5,15.3
134,6458,1362,11,5,15.9
135,6459,1362,12,5,11.5
136,6460,1362,13,5,8.1
137,6461,1362,14,5,6.7
138,6462,1362,15,5,11.8
139,6463,1362,16,5,15.4
140,6464,1362,17,5,15.7
141,6465,1362,18,5,11.8
142,6466,1362,19,5,8.5
143,6467,1362,20,5,7.0
144,6468,1362,21,5,6.7
145,6469,1362,22,5,6.6
146,6470,1362,23,5,10.8
147,6471,1362,24,5,9.3
148,6472,1362,25,5,9.7
149,6473,1362,26,5,11.9
150,6474,1362,27,5,10.7
151,6475,1362,28,5,12.6
152,6476,1362,29,5,7.2
153,6477,1362,30,5,8.7
154,6478,1362,31,5,12.3
155,8060,1362,1,6,12.3
156,8061,1362,2,6,12.0
157,8062,1362,3,6,15.4
158,8063,1362,4,6,14.7
159,8064,1362,5,6,16.3
160,8065,1362,6,6,13.7
161,8066,1362,7,6,13.6
162,8067,1362,8,6,8.1
163,8068,1362,9,6,7.6
164,8069,1362,10,6,7.7
165,8070,1362,11,6,11.4
166,8071,1362,12,6,9.3
167,8072,1362,13,6,7.7
168,8073,1362,14,6,6.8
169,8074,1362,15,6,6.2
170,8075,1362,16,6,8.9
171,8076,1362,17,6,10.4
172,8077,1362,18,6,3.5
173,8078,1362,19,6,3.8
174,8079,1362,20,6,6.8
175,8080,1362,21,6,10.4
176,8081,1362,22,6,7.4
177,8082,1362,23,6,10.1
178,8083,1362,24,6,9.8
179,8084,1362,25,6,10.8
180,8085,1362,26,6,10.1
181,8086,1362,27,6,6.2
182,8087,1362,28,6,7.2
183,8088,1362,29,6,11.4
184,8089,1362,30,6,9.4
185,8090,1362,31,6,5.7
186,9672,1362,1,7,
187,9673,1362,2,7,
188,9674,1362,3,7,
189,9675,1362,4,7,
190,9676,1362,5,7,
191,9677,1362,6,7,
192,9678,1362,7,7,
193,9679,1362,8,7,
194,9680,1362,9,7,
195,9681,1362,10,7,
196,9682,1362,11,7,
197,9683,1362,12,7,
198,9684,1362,13,7,
199,9685,1362,14,7,
200,9686,1362,15,7,
201,9687,1362,16,7,
202,9688,1362,17,7,
203,9689,1362,18,7,
204,9690,1362,19,7,
205,9691,1362,20,7,
206,9692,1362,21,7,
207,9693,1362,22,7,
208,9694,1362,23,7,
209,9695,1362,24,7,
210,9696,1362,25,7,
211,9697,1362,26,7,
212,9698,1362,27,7,
213,9699,1362,28,7,
214,9700,1362,29,7,
215,9701,1362,30,7,
216,9702,1362,31,7,
217,11284,1362,1,8,
218,11285,1362,2,8,
219,11286,1362,3,8,
220,11287,1362,4,8,
221,11288,1362,5,8,
222,11289,1362,6,8,
223,11290,1362,7,8,
224,11291,1362,8,8,
225,11292,1362,9,8,
226,11293,1362,10,8,
227,11294,1362,11,8,
228,11295,1362,12,8,
229,11296,1362,13,8,
230,11297,1362,14,8,
231,11298,1362,15,8,
232,11299,1362,16,8,
233,11300,1362,17,8,
234,11301,1362,18,8,
235,11302,1362,19,8,
236,11303,1362,20,8,
237,11304,1362,21,8,
238,11305,1362,22,8,
239,11306,1362,23,8,
240,11307,1362,24,8,
241,11308,1362,25,8,
242,11309,1362,26,8,
243,11310,1362,27,8,
244,11311,1362,28,8,
245,11312,1362,29,8,
246,11313,1362,30,8,
247,11314,1362,31,8,
248,12896,1362,1,9,
249,12897,1362,2,9,
250,12898,1362,3,9,
251,12899,1362,4,9,
252,12900,1362,5,9,
253,12901,1362,6,9,
254,12902,1362,7,9,
255,12903,1362,8,9,
256,12904,1362,9,9,
257,12905,1362,10,9,
258,12906,1362,11,9,
259,12907,1362,12,9,
260,12908,1362,13,9,
261,12909,1362,14,9,
262,12910,1362,15,9,
263,12911,1362,16,9,
264,12912,1362,17,9,
265,12913,1362,18,9,
266,12914,1362,19,9,
267,12915,1362,20,9,
268,12916,1362,21,9,
269,12917,1362,22,9,
270,12918,1362,23,9,
271,12919,1362,24,9,
272,12920,1362,25,9,
273,12921,1362,26,9,
274,12922,1362,27,9,
275,12923,1362,28,9,
276,12924,1362,29,9,
277,12925,1362,30,9,
278,12926,1362,31,9,
279,14508,1362,1,10,
280,14509,1362,2,10,
281,14510,1362,3,10,
282,14511,1362,4,10,
283,14512,1362,5,10,
284,14513,1362,6,10,
285,14514,1362,7,10,
286,14515,1362,8,10,
287,14516,1362,9,10,
288,14517,1362,10,10,
289,14518,1362,11,10,
290,14519,1362,12,10,
291,14520,1362,13,10,
292,14521,1362,14,10,
293,14522,1362,15,10,
294,14523,1362,16,10,
295,14524,1362,17,10,
296,14525,1362,18,10,
297,14526,1362,19,10,
298,14527,1362,20,10,
299,14528,1362,21,10,
300,14529,1362,22,10,
301,14530,1362,23,10,
302,14531,1362,24,10,
303,14532,1362,25,10,
304,14533,1362,26,10,
305,14534,1362,27,10,
306,14535,1362,28,10,
307,14536,1362,29,10,
308,14537,1362,30,10,
309,14538,1362,31,10,
310,16120,1362,1,11,
311,16121,1362,2,11,
312,16122,1362,3,11,
313,16123,1362,4,11,
314,16124,1362,5,11,
315,16125,1362,6,11,
316,16126,1362,7,11,
317,16127,1362,8,11,5.0
318,16128,1362,9,11,
319,16129,1362,10,11,
320,16130,1362,11,11,
321,16131,1362,12,11,
322,16132,1362,13,11,
323,16133,1362,14,11,2.0
324,16134,1362,15,11,
325,16135,1362,16,11,
326,16136,1362,17,11,
327,16137,1362,18,11,
328,16138,1362,19,11,
329,16139,1362,20,11,10.0
330,16140,1362,21,11,7.0
331,16141,1362,22,11,
332,16142,1362,23,11,
333,16143,1362,24,11,
334,16144,1362,25,11,6.0
335,16145,1362,26,11,
336,16146,1362,27,11,
337,16147,1362,28,11,
338,16148,1362,29,11,
339,16149,1362,30,11,
340,16150,1362,31,11,
341,17732,1362,1,12,
342,17733,1362,2,12,
343,17734,1362,3,12,
344,17735,1362,4,12,
345,17736,1362,5,12,4.0
346,17737,1362,6,12,
347,17738,1362,7,12,
348,17739,1362,8,12,
349,17740,1362,9,12,
350,17741,1362,10,12,
351,17742,1362,11,12,
352,17743,1362,12,12,3.0
353,17744,1362,13,12,
354,17745,1362,14,12,
355,17746,1362,15,12,
356,17747,1362,16,12,
357,17748,1362,17,12,
358,17749,1362,18,12,8.0
359,17750,1362,19,12,
360,17751,1362,20,12,
361,17752,1362,21,12,15.0
362,17753,1362,22,12,
363,17754,1362,23,12,
364,17755,1362,24,12,
365,17756,1362,25,12,
366,17757,1362,26,12,
367,17758,1362,27,12,
368,17759,1362,28,12,
369,17760,1362,29,12,
370,17761,1362,30,12,
371,17762,1362,31,12,
372,31,1363,1,1,
373,32,1363,2,1,
374,33,1363,3,1,
375,34,1363,4,1,
376,35,1363,5,1,
377,36,1363,6,1,
378,37,1363,7,1,
379,38,1363,8,1,
380,39,1363,9,1,
381,40,1363,10,1,
382,41,1363,11,1,
383,42,1363,12,1,
384,43,1363,13,1,
385,44,1363,14,1,
386,45,1363,15,1,
387,46,1363,16,1,
388,47,1363,17,1,
389,48,1363,18,1,
390,49,1363,19,1,
391,50,1363,20,1,3.9
392,51,1363,21,1,1.5
393,52,1363,22,1,1.1
394,53,1363,23,1,1.3
395,54,1363,24,1,1.5
396,55,1363,25,1,1.7
397,56,1363,26,1,0.1
398,57,1363,27,1,3.9
399,58,1363,28,1,1.0
400,59,1363,29,1,2.8
401,60,1363,30,1,2.6
402,61,1363,31,1,2.5
403,1643,1363,1,2,4.7
404,1644,1363,2,2,9.3
405,1645,1363,3,2,3.0
406,1646,1363,4,2,1.5
407,1647,1363,5,2,3.9
408,1648,1363,6,2,4.9
409,1649,1363,7,2,2.1
410,1650,1363,8,2,1.1
411,1651,1363,9,2,5.0
412,1652,1363,10,2,5.9
413,1653,1363,11,2,7.2
414,1654,1363,12,2,6.1
415,1655,1363,13,2,5.9
416,1656,1363,14,2,7.5
417,1657,1363,15,2,6.9
418,1658,1363,16,2,7.2
419,1659,1363,17,2,5.7
420,1660,1363,18,2,4.0
421,1661,1363,19,2,4.4
422,1662,1363,20,2,4.5
423,1663,1363,21,2,6.0
424,1664,1363,22,2,6.3
425,1665,1363,23,2,6.6
426,1666,1363,24,2,3.9
427,1667,1363,25,2,7.7
428,1668,1363,26,2,5.8
429,1669,1363,27,2,8.0
430,1670,1363,28,2,6.1
431,1671,1363,29,2,6.0
432,1672,1363,30,2,6.1
433,1673,1363,31,2,5.1
434,3255,1363,1,3,6.0
435,3256,1363,2,3,6.8
436,3257,1363,3,3,8.7
437,3258,1363,4,3,6.1
438,3259,1363,5,3,5.2
439,3260,1363,6,3,7.0
440,3261,1363,7,3,6.6
441,3262,1363,8,3,4.4
442,3263,1363,9,3,6.7
443,3264,1363,10,3,9.5
444,3265,1363,11,3,11.5
445,3266,1363,12,3,11.4
446,3267,1363,13,3,11.2
447,3268,1363,14,3,10.2
448,3269,1363,15,3,10.4
449,3270,1363,16,3,8.9
450,3271,1363,17,3,11.2
451,3272,1363,18,3,10.3
452,3273,1363,19,3,7.7
453,3274,1363,20,3,5.1
454,3275,1363,21,3,6.6
455,3276,1363,22,3,6.6
456,3277,1363,23,3,9.7
457,3278,1363,24,3,8.5
458,3279,1363,25,3,7.7
459,3280,1363,26,3,8.3
460,3281,1363,27,3,7.1
461,3282,1363,28,3,9.6
462,3283,1363,29,3,9.5
463,3284,1363,30,3,11.1
464,3285,1363,31,3,10.0
465,4867,1363,1,4,8.4
466,4868,1363,2,4,14.0
467,4869,1363,3,4,12.0
468,4870,1363,4,4,13.8
469,4871,1363,5,4,15.2
470,4872,1363,6,4,15.0
471,4873,1363,7,4,13.1
472,4874,1363,8,4,9.3
473,4875,1363,9,4,9.4
474,4876,1363,10,4,8.0
475,4877,1363,11,4,10.1
476,4878,1363,12,4,12.0
477,4879,1363,13,4,11.1
478,4880,1363,14,4,15.7
479,4881,1363,15,4,15.2
480,4882,1363,16,4,14.3
481,4883,1363,17,4,15.5
482,4884,1363,18,4,11.2
483,4885,1363,19,4,12.2
484,4886,1363,20,4,8.5
485,4887,1363,21,4,6.9
486,4888,1363,22,4,9.1
487,4889,1363,23,4,11.6
488,4890,1363,24,4,8.6
489,4891,1363,25,4,11.0
490,4892,1363,26,4,7.2
491,4893,1363,27,4,8.0
492,4894,1363,28,4,12.2
493,4895,1363,29,4,15.9
494,4896,1363,30,4,13.7
495,4897,1363,31,4,10.4
496,6479,1363,1,5,8.1
497,6480,1363,2,5,5.1
498,6481,1363,3,5,12.1
499,6482,1363,4,5,11.1
