,datetime,local_date,EV_uST
0,1992-06-01,1371-03-11 00:00:00,5.9
1,1992-06-02,1371-03-12 00:00:00,5.8
2,1992-06-03,1371-03-13 00:00:00,6.0
3,1992-06-04,1371-03-14 00:00:00,7.8
4,1992-06-05,1371-03-15 00:00:00,5.2
5,1992-06-06,1371-03-16 00:00:00,6.7
6,1992-06-07,1371-03-17 00:00:00,6.1
7,1992-06-08,1371-03-18 00:00:00,7.9
8,1992-06-09,1371-03-19 00:00:00,9.6
9,1992-06-10,1371-03-20 00:00:00,8.8
10,1992-06-11,1371-03-21 00:00:00,6.8
11,1992-06-12,1371-03-22 00:00:00,6.0
12,1992-06-13,1371-03-23 00:00:00,9.9
13,1992-06-14,1371-03-24 00:00:00,10.2
14,1992-06-15,1371-03-25 00:00:00,9.9
15,1992-06-16,1371-03-26 00:00:00,4.9
16,1992-06-17,1371-03-27 00:00:00,2.8
17,1992-06-18,1371-03-28 00:00:00,7.0
18,1992-06-19,1371-03-29 00:00:00,6.4
19,1992-06-20,1371-03-30 00:00:00,8.2
20,1992-06-21,1371-03-31 00:00:00,3.6
21,1992-06-22,1371-04-01 00:00:00,1.0
22,1992-06-23,1371-04-02 00:00:00,9.2
23,1992-06-24,1371-04-03 00:00:00,9.6
24,1992-06-25,1371-04-04 00:00:00,8.1
25,1992-06-26,1371-04-05 00:00:00,9.9
26,1992-06-27,1371-04-06 00:00:00,8.0
27,1992-06-28,1371-04-07 00:00:00,8.4
28,1992-06-29,1371-04-08 00:00:00,8.8
29,1992-06-30,1371-04-09 00:00:00,11.0
30,1992-07-01,1371-04-10 00:00:00,10.6
31,1992-07-02,1371-04-11 00:00:00,8.8
32,1992-07-03,1371-04-12 00:00:00,9.4
33,1992-07-04,1371-04-13 00:00:00,11.6
34,1992-07-05,1371-04-14 00:00:00,8.8
35,1992-07-06,1371-04-15 00:00:00,11.4
36,1992-07-07,1371-04-16 00:00:00,11.4
37,1992-07-08,1371-04-17 00:00:00,11.4
38,1992-07-09,1371-04-18 00:00:00,9.7
39,1992-07-10,1371-04-19 00:00:00,10.6
40,1992-07-11,1371-04-20 00:00:00,11.8
41,1992-07-12,1371-04-21 00:00:00,11.8
42,1992-07-13,1371-04-22 00:00:00,7.5
43,1992-07-14,1371-04-23 00:00:00,9.6
44,1992-07-15,1371-04-24 00:00:00,12.8
45,1992-07-16,1371-04-25 00:00:00,11.0
46,1992-07-17,1371-04-26 00:00:00,11.9
47,1992-07-18,1371-04-27 00:00:00,11.8
48,1992-07-19,1371-04-28 00:00:00,13.6
49,1992-07-20,1371-04-29 00:00:00,11.4
50,1992-07-21,1371-04-30 00:00:00,9.7
51,1992-07-22,1371-04-31 00:00:00,12.3
52,1992-07-23,1371-05-01 00:00:00,11.0
53,1992-07-24,1371-05-02 00:00:00,14.0
54,1992-07-25,1371-05-03 00:00:00,9.5
55,1992-07-26,1371-05-04 00:00:00,11.4
56,1992-07-27,1371-05-05 00:00:00,9.0
57,1992-07-28,1371-05-06 00:00:00,10.8
58,1992-07-29,1371-05-07 00:00:00,9.7
59,1992-07-30,1371-05-08 00:00:00,9.6
