,stationid,datetime,rrr24
0,99332,2005-01-01,0.0
1,99332,2005-01-02,0.0
2,99332,2005-01-03,0.0
3,99332,2005-01-04,0.0
4,99332,2005-01-05,0.81
5,99332,2005-01-06,1.4
6,99332,2005-01-07,1.0
7,99332,2005-01-08,0.0
8,99332,2005-01-09,0.0
9,99332,2005-01-10,0.0
10,99332,2005-01-11,6.0
11,99332,2005-01-12,0.0
12,99332,2005-01-13,0.0
13,99332,2005-01-14,0.0
14,99332,2005-01-15,0.0
15,99332,2005-01-16,0.0
16,99332,2005-01-17,0.0
17,99332,2005-01-18,21.0
18,99332,2005-01-19,12.01
19,99332,2005-01-20,0.0
20,99332,2005-01-21,0.0
21,99332,2005-01-22,9.0
22,99332,2005-01-23,8.0
23,99332,2005-01-24,2.0
24,99332,2005-01-25,0.0
25,99332,2005-01-26,0.0
26,99332,2005-01-27,0.0
27,99332,2005-01-28,0.01
28,99332,2005-01-29,0.0
29,99332,2005-01-30,0.0
30,99332,2005-01-31,0.0
31,99332,2005-02-01,4.8
32,99332,2005-02-02,5.0
33,99332,2005-02-03,0.0
34,99332,2005-02-04,3.0
35,99332,2005-02-05,3.31
36,99332,2005-02-06,4.1
37,99332,2005-02-07,9.0
38,99332,2005-02-08,0.12
39,99332,2005-02-09,7.1
40,99332,2005-02-10,6.1
41,99332,2005-02-11,0.11
42,99332,2005-02-12,0.0
43,99332,2005-02-13,0.03
44,99332,2005-02-14,0.1
45,99332,2005-02-15,0.0
46,99332,2005-02-16,0.0
47,99332,2005-02-17,0.0
48,99332,2005-02-18,0.0
49,99332,2005-02-19,0.0
50,99332,2005-02-20,3.01
51,99332,2005-02-21,6.0
52,99332,2005-02-22,0.0
53,99332,2005-02-23,0.0
54,99332,2005-02-24,0.0
55,99332,2005-02-25,0.0
56,99332,2005-02-26,0.0
57,99332,2005-02-27,0.0
58,99332,2005-02-28,0.0
59,99332,2005-03-01,0.0
60,99332,2005-03-02,0.0
61,99332,2005-03-03,0.0
62,99332,2005-03-04,1.01
63,99332,2005-03-05,4.2
64,99332,2005-03-06,0.0
65,99332,2005-03-07,0.2
66,99332,2005-03-08,0.01
67,99332,2005-03-09,0.11
68,99332,2005-03-10,26.4
69,99332,2005-03-11,0.0
70,99332,2005-03-12,0.0
71,99332,2005-03-13,0.0
72,99332,2005-03-14,0.0
73,99332,2005-03-15,0.0
74,99332,2005-03-16,0.0
75,99332,2005-03-17,0.0
76,99332,2005-03-18,0.0
77,99332,2005-03-19,0.0
78,99332,2005-03-20,0.0
79,99332,2005-03-21,0.0
80,99332,2005-03-22,0.0
81,99332,2005-03-23,0.22
82,99332,2005-03-24,0.41
83,99332,2005-03-25,0.0
84,99332,2005-03-26,0.4
85,99332,2005-03-27,0.0
86,99332,2005-03-28,0.0
87,99332,2005-03-29,0.0
88,99332,2005-03-30,0.0
89,99332,2005-03-31,0.0
90,99332,2005-04-01,0.0
91,99332,2005-04-02,1.5
92,99332,2005-04-03,4.0
93,99332,2005-04-04,0.01
94,99332,2005-04-05,0.01
95,99332,2005-04-06,0.0
96,99332,2005-04-07,0.4
97,99332,2005-04-08,0.0
98,99332,2005-04-09,0.0
99,99332,2005-04-10,0.51
100,99332,2005-04-11,0.0
101,99332,2005-04-12,0.0
102,99332,2005-04-13,0.0
103,99332,2005-04-14,0.0
104,99332,2005-04-15,26.0
105,99332,2005-04-16,5.0
106,99332,2005-04-17,0.0
107,99332,2005-04-18,0.0
108,99332,2005-04-19,0.0
109,99332,2005-04-20,0.0
110,99332,2005-04-21,0.0
111,99332,2005-04-22,0.0
112,99332,2005-04-23,0.0
113,99332,2005-04-24,0.0
114,99332,2005-04-25,0.0
115,99332,2005-04-26,9.2
116,99332,2005-04-27,0.0
117,99332,2005-04-28,0.0
118,99332,2005-04-29,0.51
119,99332,2005-04-30,0.0
120,99332,2005-05-01,0.01
121,99332,2005-05-02,0.0
122,99332,2005-05-03,7.0
123,99332,2005-05-04,1.22
124,99332,2005-05-05,17.01
125,99332,2005-05-06,2.0
126,99332,2005-05-07,0.0
127,99332,2005-05-08,0.0
128,99332,2005-05-09,0.0
129,99332,2005-05-10,0.0
130,99332,2005-05-11,0.0
131,99332,2005-05-12,0.0
132,99332,2005-05-13,0.01
133,99332,2005-05-14,1.11
134,99332,2005-05-15,9.02
135,99332,2005-05-16,0.1
136,99332,2005-05-17,0.0
137,99332,2005-05-18,0.0
138,99332,2005-05-19,0.01
139,99332,2005-05-20,0.2
140,99332,2005-05-21,0.0
141,99332,2005-05-22,0.0
142,99332,2005-05-23,0.0
143,99332,2005-05-24,0.02
144,99332,2005-05-25,0.0
145,99332,2005-05-26,0.0
146,99332,2005-05-27,0.0
147,99332,2005-05-28,0.0
148,99332,2005-05-29,0.0
149,99332,2005-05-30,0.0
150,99332,2005-05-31,0.0
151,99332,2005-06-01,0.01
152,99332,2005-06-02,3.0
153,99332,2005-06-03,0.0
154,99332,2005-06-04,0.0
155,99332,2005-06-05,0.0
156,99332,2005-06-06,0.0
157,99332,2005-06-07,0.0
158,99332,2005-06-08,0.0
159,99332,2005-06-09,0.0
160,99332,2005-06-10,0.0
161,99332,2005-06-11,0.0
162,99332,2005-06-12,0.0
163,99332,2005-06-13,0.0
164,99332,2005-06-14,0.0
165,99332,2005-06-15,0.0
166,99332,2005-06-16,0.0
167,99332,2005-06-17,0.0
168,99332,2005-06-18,0.0
169,99332,2005-06-19,0.0
170,99332,2005-06-20,0.0
171,99332,2005-06-21,0.0
172,99332,2005-06-22,0.0
173,99332,2005-06-23,0.0
174,99332,2005-06-24,0.0
175,99332,2005-06-25,0.0
176,99332,2005-06-26,0.0
177,99332,2005-06-27,0.0
178,99332,2005-06-28,0.0
179,99332,2005-06-29,0.0
180,99332,2005-06-30,0.0
181,99332,2005-07-01,0.0
182,99332,2005-07-02,0.01
