,stationid,datetime,rrr24
0,99214,2001-11-01,0.0
1,99214,2001-11-02,0.0
2,99214,2001-11-03,0.0
3,99214,2001-11-04,0.0
4,99214,2001-11-05,0.0
5,99214,2001-11-06,0.0
6,99214,2001-11-07,2.0
7,99214,2001-11-08,0.0
8,99214,2001-11-09,0.0
9,99214,2001-11-10,0.4
10,99214,2001-11-11,1.0
11,99214,2001-11-12,2.1
12,99214,2001-11-13,0.0
13,99214,2001-11-14,0.0
14,99214,2001-11-15,0.0
15,99214,2001-11-16,0.0
16,99214,2001-11-17,0.2
17,99214,2001-11-18,1.0
18,99214,2001-11-19,0.0
19,99214,2001-11-20,0.0
20,99214,2001-11-21,0.0
21,99214,2001-11-22,0.01
22,99214,2001-11-23,0.0
23,99214,2001-11-24,0.0
24,99214,2001-11-25,0.0
25,99214,2001-11-26,0.0
26,99214,2001-11-27,2.4
27,99214,2001-11-28,0.0
28,99214,2001-11-29,0.2
29,99214,2001-11-30,0.0
30,99214,2001-12-01,0.0
31,99214,2001-12-02,1.0
32,99214,2001-12-03,0.0
33,99214,2001-12-04,1.4
34,99214,2001-12-05,0.2
35,99214,2001-12-06,0.0
36,99214,2001-12-07,0.0
37,99214,2001-12-08,0.0
38,99214,2001-12-09,0.0
39,99214,2001-12-10,0.0
40,99214,2001-12-11,0.0
41,99214,2001-12-12,0.3
42,99214,2001-12-13,0.0
43,99214,2001-12-14,0.0
44,99214,2001-12-15,0.0
45,99214,2001-12-16,0.0
46,99214,2001-12-17,0.0
47,99214,2001-12-18,0.0
48,99214,2001-12-19,0.0
49,99214,2001-12-20,2.0
50,99214,2001-12-21,0.0
51,99214,2001-12-22,0.0
52,99214,2001-12-23,0.0
53,99214,2001-12-24,0.0
54,99214,2001-12-25,0.0
55,99214,2001-12-26,0.0
56,99214,2001-12-27,0.01
57,99214,2001-12-28,0.0
58,99214,2001-12-29,0.2
59,99214,2001-12-30,0.5
60,99214,2001-12-31,0.0
61,99214,2002-01-01,0.0
62,99214,2002-01-02,0.0
63,99214,2002-01-03,0.0
64,99214,2002-01-04,0.0
65,99214,2002-01-05,0.0
66,99214,2002-01-06,0.0
67,99214,2002-01-07,5.0
68,99214,2002-01-08,6.6
69,99214,2002-01-09,1.0
70,99214,2002-01-10,0.6
71,99214,2002-01-11,0.0
72,99214,2002-01-12,0.0
73,99214,2002-01-13,0.0
74,99214,2002-01-14,0.0
75,99214,2002-01-15,0.0
76,99214,2002-01-16,0.0
77,99214,2002-01-17,0.0
78,99214,2002-01-18,0.0
79,99214,2002-01-19,0.0
80,99214,2002-01-20,0.0
81,99214,2002-01-21,0.0
82,99214,2002-01-22,0.0
83,99214,2002-01-23,0.2
84,99214,2002-01-24,0.0
85,99214,2002-01-25,0.0
86,99214,2002-01-26,0.0
87,99214,2002-01-27,0.0
88,99214,2002-01-28,0.0
89,99214,2002-01-29,5.0
90,99214,2002-01-30,0.0
91,99214,2002-01-31,0.0
92,99214,2002-02-01,0.0
93,99214,2002-02-02,0.0
94,99214,2002-02-03,0.0
95,99214,2002-02-04,0.0
96,99214,2002-02-05,0.0
97,99214,2002-02-06,0.0
98,99214,2002-02-07,0.0
99,99214,2002-02-08,0.0
100,99214,2002-02-09,0.0
101,99214,2002-02-10,0.0
102,99214,2002-02-11,0.0
103,99214,2002-02-12,2.2
104,99214,2002-02-13,0.0
105,99214,2002-02-14,0.0
106,99214,2002-02-15,0.0
107,99214,2002-02-16,0.4
108,99214,2002-02-17,0.0
109,99214,2002-02-18,0.0
110,99214,2002-02-19,0.0
111,99214,2002-02-20,0.0
112,99214,2002-02-21,0.0
113,99214,2002-02-22,0.0
114,99214,2002-02-23,0.0
115,99214,2002-02-24,0.0
116,99214,2002-02-25,0.0
117,99214,2002-02-26,0.0
118,99214,2002-02-27,3.0
119,99214,2002-02-28,0.0
120,99214,2002-03-01,0.0
121,99214,2002-03-02,0.0
122,99214,2002-03-03,0.0
123,99214,2002-03-04,0.0
124,99214,2002-03-05,0.0
125,99214,2002-03-06,0.0
126,99214,2002-03-07,0.0
127,99214,2002-03-08,0.0
128,99214,2002-03-09,0.0
129,99214,2002-03-10,0.0
130,99214,2002-03-11,0.0
131,99214,2002-03-12,0.0
132,99214,2002-03-13,0.0
133,99214,2002-03-14,0.02
134,99214,2002-03-15,0.7
135,99214,2002-03-16,0.7
136,99214,2002-03-17,0.0
137,99214,2002-03-18,0.4
138,99214,2002-03-19,3.01
139,99214,2002-03-20,3.8
140,99214,2002-03-21,2.0
141,99214,2002-03-22,2.6
142,99214,2002-03-23,8.0
143,99214,2002-03-24,0.0
144,99214,2002-03-25,0.0
145,99214,2002-03-26,0.0
146,99214,2002-03-27,5.0
147,99214,2002-03-28,0.0
148,99214,2002-03-29,0.4
149,99214,2002-03-30,0.51
150,99214,2002-03-31,0.0
151,99214,2002-04-01,0.01
152,99214,2002-04-02,1.01
153,99214,2002-04-03,15.0
154,99214,2002-04-04,14.0
155,99214,2002-04-05,0.71
156,99214,2002-04-06,0.0
157,99214,2002-04-07,6.0
158,99214,2002-04-08,0.7
159,99214,2002-04-09,0.0
160,99214,2002-04-10,0.0
161,99214,2002-04-11,0.0
162,99214,2002-04-12,0.0
163,99214,2002-04-13,0.0
164,99214,2002-04-14,0.01
165,99214,2002-04-15,1.1
166,99214,2002-04-16,12.01
167,99214,2002-04-17,8.0
168,99214,2002-04-18,0.2
169,99214,2002-04-19,1.2
170,99214,2002-04-20,15.0
171,99214,2002-04-21,11.0
172,99214,2002-04-22,6.0
173,99214,2002-04-23,17.0
174,99214,2002-04-24,6.01
175,99214,2002-04-25,5.2
176,99214,2002-04-26,0.2
177,99214,2002-04-27,0.0
178,99214,2002-04-28,0.4
179,99214,2002-04-29,0.0
180,99214,2002-04-30,3.0
181,99214,2002-05-01,0.7
182,99214,2002-05-02,0.0
183,99214,2002-05-03,1.0
184,99214,2002-05-04,9.3
