,stationid,datetime,rrr24
0,99246,2006-02-01,0.0
1,99246,2006-02-02,0.0
2,99246,2006-02-03,11.01
3,99246,2006-02-04,19.3
4,99246,2006-02-05,0.0
5,99246,2006-02-06,0.0
6,99246,2006-02-07,0.0
7,99246,2006-02-08,0.01
8,99246,2006-02-09,22.8
9,99246,2006-02-10,0.0
10,99246,2006-02-11,0.0
11,99246,2006-02-12,0.0
12,99246,2006-02-13,0.0
13,99246,2006-02-14,0.01
14,99246,2006-02-15,0.11
15,99246,2006-02-16,0.0
16,99246,2006-02-17,0.1
17,99246,2006-02-18,0.0
18,99246,2006-02-19,0.0
19,99246,2006-02-20,0.0
20,99246,2006-02-21,0.0
21,99246,2006-02-22,0.0
22,99246,2006-02-23,0.0
23,99246,2006-02-24,0.0
24,99246,2006-02-25,0.0
25,99246,2006-02-26,0.0
26,99246,2006-02-27,0.0
27,99246,2006-02-28,0.0
28,99246,2006-03-01,0.0
29,99246,2006-03-02,0.0
30,99246,2006-03-03,0.0
31,99246,2006-03-04,0.0
32,99246,2006-03-05,0.0
33,99246,2006-03-06,0.0
34,99246,2006-03-07,0.0
35,99246,2006-03-08,0.0
36,99246,2006-03-09,2.61
37,99246,2006-03-10,0.3
38,99246,2006-03-11,0.0
39,99246,2006-03-12,0.0
40,99246,2006-03-13,0.0
41,99246,2006-03-14,0.0
42,99246,2006-03-15,0.0
43,99246,2006-03-16,0.0
44,99246,2006-03-17,0.0
45,99246,2006-03-18,0.0
46,99246,2006-03-19,0.0
47,99246,2006-03-20,7.0
48,99246,2006-03-21,0.0
49,99246,2006-03-22,0.0
50,99246,2006-03-23,0.0
51,99246,2006-03-24,0.0
52,99246,2006-03-25,0.0
53,99246,2006-03-26,0.0
54,99246,2006-03-27,0.0
55,99246,2006-03-28,0.2
56,99246,2006-03-29,1.2
57,99246,2006-03-30,0.0
58,99246,2006-03-31,0.0
59,99246,2006-04-01,0.0
60,99246,2006-04-02,1.0
61,99246,2006-04-03,0.5
62,99246,2006-04-04,0.0
63,99246,2006-04-05,0.12
64,99246,2006-04-06,0.0
65,99246,2006-04-07,0.0
66,99246,2006-04-08,0.0
67,99246,2006-04-09,0.0
68,99246,2006-04-10,0.0
69,99246,2006-04-11,0.0
70,99246,2006-04-12,1.4
71,99246,2006-04-13,0.0
72,99246,2006-04-14,0.0
73,99246,2006-04-15,0.0
74,99246,2006-04-16,0.3
75,99246,2006-04-17,32.0
76,99246,2006-04-18,19.2
