,stationid,datetime,rrr24
0,40703,1981-03-21,0.2
1,40703,1981-03-22,0.0
2,40703,1981-03-23,0.0
3,40703,1981-03-24,4.0
4,40703,1981-03-25,0.0
5,40703,1981-03-26,5.0
6,40703,1981-03-27,8.0
7,40703,1981-03-28,6.0
8,40703,1981-03-29,0.0
9,40703,1981-03-30,6.0
10,40703,1981-03-31,3.0
11,40703,1981-04-01,10.0
12,40703,1981-04-02,0.0
13,40703,1981-04-03,0.0
14,40703,1981-04-04,0.2
15,40703,1981-04-05,0.0
16,40703,1981-04-06,1.0
17,40703,1981-04-07,0.0
18,40703,1981-04-08,8.0
19,40703,1981-04-09,3.0
20,40703,1981-04-10,0.0
21,40703,1981-04-11,0.3
22,40703,1981-04-12,9.2
23,40703,1981-04-13,5.0
24,40703,1981-04-14,0.0
25,40703,1981-04-15,0.0
26,40703,1981-04-16,0.0
27,40703,1981-04-17,12.0
28,40703,1981-04-18,0.0
29,40703,1981-04-19,0.0
30,40703,1981-04-20,0.0
31,40703,1981-04-21,0.0
32,40703,1981-04-22,0.1
33,40703,1981-04-23,0.0
34,40703,1981-04-24,2.0
35,40703,1981-04-25,11.0
36,40703,1981-04-26,2.0
37,40703,1981-04-27,2.5
38,40703,1981-04-28,11.0
39,40703,1981-04-29,0.4
40,40703,1981-04-30,0.0
41,40703,1981-05-01,9.0
42,40703,1981-05-02,10.0
43,40703,1981-05-03,0.0
44,40703,1981-05-04,0.1
45,40703,1981-05-05,0.0
46,40703,1981-05-06,7.0
47,40703,1981-05-07,0.0
48,40703,1981-05-08,0.0
49,40703,1981-05-09,0.5
50,40703,1981-05-10,3.0
51,40703,1981-05-11,3.0
52,40703,1981-05-12,3.0
53,40703,1981-05-13,0.0
54,40703,1981-05-14,0.0
55,40703,1981-05-15,0.0
56,40703,1981-05-16,2.0
57,40703,1981-05-17,21.0
58,40703,1981-05-18,0.0
59,40703,1981-05-19,1.0
60,40703,1981-05-20,0.4
61,40703,1981-05-21,0.0
62,40703,1981-05-22,14.0
63,40703,1981-05-23,1.0
64,40703,1981-05-24,0.4
65,40703,1981-05-25,0.0
66,40703,1981-05-26,1.0
67,40703,1981-05-27,10.0
68,40703,1981-05-28,0.0
69,40703,1981-05-29,0.0
70,40703,1981-05-30,0.0
71,40703,1981-05-31,0.0
72,40703,1981-06-01,0.0
73,40703,1981-06-02,0.0
74,40703,1981-06-03,0.0
75,40703,1981-06-04,0.0
76,40703,1981-06-05,0.0
77,40703,1981-06-06,7.0
78,40703,1981-06-07,0.0
79,40703,1981-06-08,0.0
80,40703,1981-06-09,0.0
81,40703,1981-06-10,0.0
82,40703,1981-06-11,0.0
83,40703,1981-06-12,0.0
84,40703,1981-06-13,0.0
