,stationid,datetime,rrr24
0,40726,1985-01-01,0.0
1,40726,1985-01-02,38.0
2,40726,1985-01-03,6.0
3,40726,1985-01-04,0.0
4,40726,1985-01-05,0.0
5,40726,1985-01-06,0.0
6,40726,1985-01-07,0.0
7,40726,1985-01-08,0.0
8,40726,1985-01-09,0.0
9,40726,1985-01-10,0.0
10,40726,1985-01-11,0.0
11,40726,1985-01-12,0.0
12,40726,1985-01-13,0.0
13,40726,1985-01-14,0.0
14,40726,1985-01-15,0.0
15,40726,1985-01-16,3.0
16,40726,1985-01-17,0.0
17,40726,1985-01-18,0.0
18,40726,1985-01-19,1.0
19,40726,1985-01-20,0.0
20,40726,1985-01-21,0.0
21,40726,1985-01-22,0.0
22,40726,1985-01-23,1.0
23,40726,1985-01-24,0.0
24,40726,1985-01-25,0.0
25,40726,1985-01-26,0.0
26,40726,1985-01-27,0.0
27,40726,1985-01-28,0.0
28,40726,1985-01-29,2.0
29,40726,1985-01-30,0.0
30,40726,1985-01-31,12.0
31,40726,1985-02-01,17.0
32,40726,1985-02-02,6.0
33,40726,1985-02-03,6.0
34,40726,1985-02-04,19.0
35,40726,1985-02-05,36.0
36,40726,1985-02-06,17.0
37,40726,1985-02-07,0.0
38,40726,1985-02-08,0.0
39,40726,1985-02-09,0.0
40,40726,1985-02-10,0.0
41,40726,1985-02-11,0.0
42,40726,1985-02-12,0.0
43,40726,1985-02-13,0.0
44,40726,1985-02-14,0.0
45,40726,1985-02-15,0.01
46,40726,1985-02-16,2.0
47,40726,1985-02-17,0.0
48,40726,1985-02-18,0.0
49,40726,1985-02-19,0.0
50,40726,1985-02-20,7.0
51,40726,1985-02-21,6.0
52,40726,1985-02-22,0.0
53,40726,1985-02-23,0.0
54,40726,1985-02-24,0.0
55,40726,1985-02-25,4.0
56,40726,1985-02-26,2.01
57,40726,1985-02-27,11.0
58,40726,1985-02-28,4.0
59,40726,1985-03-01,0.0
60,40726,1985-03-02,0.0
61,40726,1985-03-03,0.0
62,40726,1985-03-04,0.0
63,40726,1985-03-05,0.0
64,40726,1985-03-06,0.0
65,40726,1985-03-07,3.0
66,40726,1985-03-08,3.0
67,40726,1985-03-09,0.0
68,40726,1985-03-10,0.0
69,40726,1985-03-11,0.0
70,40726,1985-03-12,0.0
71,40726,1985-03-13,0.0
72,40726,1985-03-14,0.0
73,40726,1985-03-15,0.0
74,40726,1985-03-16,0.0
75,40726,1985-03-17,0.0
76,40726,1985-03-18,0.0
77,40726,1985-03-19,3.0
78,40726,1985-03-20,4.0
79,40726,1985-03-21,0.0
80,40726,1985-03-22,0.0
81,40726,1985-03-23,0.0
82,40726,1985-03-24,36.0
83,40726,1985-03-25,0.0
84,40726,1985-03-26,3.0
85,40726,1985-03-27,0.0
86,40726,1985-03-28,0.0
87,40726,1985-03-29,4.0
88,40726,1985-03-30,1.0
89,40726,1985-03-31,0.0
90,40726,1985-04-01,0.0
91,40726,1985-04-02,0.0
