,stationid,datetime,rrr24
0,40701,1985-01-01,0.01
1,40701,1985-01-02,0.5
2,40701,1985-01-03,0.0
3,40701,1985-01-04,0.0
4,40701,1985-01-05,0.0
5,40701,1985-01-06,0.0
6,40701,1985-01-07,0.0
7,40701,1985-01-08,0.0
8,40701,1985-01-09,0.0
9,40701,1985-01-10,0.0
10,40701,1985-01-11,0.11
11,40701,1985-01-12,1.5
12,40701,1985-01-13,10.1
13,40701,1985-01-14,2.0
14,40701,1985-01-15,0.31
15,40701,1985-01-16,2.2
16,40701,1985-01-17,0.6
17,40701,1985-01-18,2.0
18,40701,1985-01-19,0.3
19,40701,1985-01-20,0.0
20,40701,1985-01-21,0.0
21,40701,1985-01-22,0.1
22,40701,1985-01-23,0.0
23,40701,1985-01-24,0.0
24,40701,1985-01-25,0.0
25,40701,1985-01-26,0.0
26,40701,1985-01-27,0.0
27,40701,1985-01-28,0.0
28,40701,1985-01-29,2.0
29,40701,1985-01-30,0.4
30,40701,1985-01-31,0.0
31,40701,1985-02-01,0.6
32,40701,1985-02-02,0.0
33,40701,1985-02-03,4.0
34,40701,1985-02-04,3.0
35,40701,1985-02-05,17.0
36,40701,1985-02-06,0.0
37,40701,1985-02-07,0.0
38,40701,1985-02-08,0.0
39,40701,1985-02-09,0.4
40,40701,1985-02-10,
41,40701,1985-02-11,
42,40701,1985-02-12,0.0
43,40701,1985-02-13,0.0
44,40701,1985-02-14,0.0
45,40701,1985-02-15,0.0
46,40701,1985-02-16,0.2
47,40701,1985-02-17,0.11
48,40701,1985-02-18,2.0
49,40701,1985-02-19,1.6
50,40701,1985-02-20,53.0
51,40701,1985-02-21,
52,40701,1985-02-22,2.0
53,40701,1985-02-23,0.0
54,40701,1985-02-24,0.0
55,40701,1985-02-25,2.0
56,40701,1985-02-26,4.2
57,40701,1985-02-27,0.1
58,40701,1985-02-28,0.9
59,40701,1985-03-01,0.8
60,40701,1985-03-02,0.0
61,40701,1985-03-03,0.0
62,40701,1985-03-04,0.0
63,40701,1985-03-05,0.0
64,40701,1985-03-06,0.0
65,40701,1985-03-07,0.0
66,40701,1985-03-08,2.0
67,40701,1985-03-09,0.0
68,40701,1985-03-10,0.0
69,40701,1985-03-11,0.0
70,40701,1985-03-12,0.0
71,40701,1985-03-13,0.0
72,40701,1985-03-14,0.0
73,40701,1985-03-15,0.0
74,40701,1985-03-16,0.0
75,40701,1985-03-17,0.0
76,40701,1985-03-18,4.0
77,40701,1985-03-19,5.0
