,stationid,datetime,rrr24
0,99292,2002-02-01,
1,99292,2002-02-02,
2,99292,2002-02-03,
3,99292,2002-02-04,0.0
4,99292,2002-02-05,0.0
5,99292,2002-02-06,0.0
6,99292,2002-02-07,0.0
7,99292,2002-02-08,0.0
8,99292,2002-02-09,0.0
9,99292,2002-02-10,0.0
10,99292,2002-02-11,0.0
11,99292,2002-02-12,2.0
12,99292,2002-02-13,0.0
13,99292,2002-02-14,0.0
14,99292,2002-02-15,0.0
15,99292,2002-02-16,0.0
16,99292,2002-02-17,0.0
17,99292,2002-02-18,0.0
18,99292,2002-02-19,0.0
19,99292,2002-02-20,0.0
20,99292,2002-02-21,0.0
21,99292,2002-02-22,0.0
22,99292,2002-02-23,0.0
23,99292,2002-02-24,0.0
24,99292,2002-02-25,3.0
25,99292,2002-02-26,0.0
26,99292,2002-02-27,2.0
27,99292,2002-02-28,0.0
28,99292,2002-03-01,0.0
29,99292,2002-03-02,0.0
30,99292,2002-03-03,0.0
31,99292,2002-03-04,0.0
32,99292,2002-03-05,0.0
33,99292,2002-03-06,0.0
34,99292,2002-03-07,0.0
35,99292,2002-03-08,0.0
36,99292,2002-03-09,0.0
37,99292,2002-03-10,0.0
38,99292,2002-03-11,0.0
39,99292,2002-03-12,0.0
40,99292,2002-03-13,0.0
41,99292,2002-03-14,0.0
42,99292,2002-03-15,5.0
43,99292,2002-03-16,0.0
44,99292,2002-03-17,0.1
45,99292,2002-03-18,15.0
46,99292,2002-03-19,5.2
47,99292,2002-03-20,4.9
48,99292,2002-03-21,10.0
49,99292,2002-03-22,0.0
50,99292,2002-03-23,0.0
51,99292,2002-03-24,0.0
52,99292,2002-03-25,0.0
53,99292,2002-03-26,0.0
54,99292,2002-03-27,0.6
55,99292,2002-03-28,0.0
56,99292,2002-03-29,0.0
57,99292,2002-03-30,0.5
58,99292,2002-03-31,0.0
59,99292,2002-04-01,0.0
60,99292,2002-04-02,13.0
61,99292,2002-04-03,11.0
62,99292,2002-04-04,0.3
63,99292,2002-04-05,0.6
64,99292,2002-04-06,1.0
65,99292,2002-04-07,13.0
66,99292,2002-04-08,0.0
67,99292,2002-04-09,0.0
68,99292,2002-04-10,0.0
69,99292,2002-04-11,0.0
70,99292,2002-04-12,0.0
71,99292,2002-04-13,0.0
72,99292,2002-04-14,0.0
73,99292,2002-04-15,0.0
74,99292,2002-04-16,0.01
75,99292,2002-04-17,0.8
76,99292,2002-04-18,15.0
77,99292,2002-04-19,1.7
78,99292,2002-04-20,5.0
79,99292,2002-04-21,0.0
80,99292,2002-04-22,0.8
81,99292,2002-04-23,0.5
82,99292,2002-04-24,0.7
83,99292,2002-04-25,0.3
84,99292,2002-04-26,0.0
85,99292,2002-04-27,0.0
86,99292,2002-04-28,0.0
87,99292,2002-04-29,0.0
88,99292,2002-04-30,0.0
89,99292,2002-05-01,0.0
90,99292,2002-05-02,0.0
91,99292,2002-05-03,0.0
92,99292,2002-05-04,9.0
93,99292,2002-05-05,0.21
94,99292,2002-05-06,8.0
95,99292,2002-05-07,0.0
96,99292,2002-05-08,0.0
97,99292,2002-05-09,11.0
98,99292,2002-05-10,0.0
99,99292,2002-05-11,0.0
100,99292,2002-05-12,4.0
101,99292,2002-05-13,0.0
102,99292,2002-05-14,0.01
103,99292,2002-05-15,0.0
104,99292,2002-05-16,0.0
105,99292,2002-05-17,0.0
106,99292,2002-05-18,0.0
107,99292,2002-05-19,0.0
108,99292,2002-05-20,0.0
109,99292,2002-05-21,0.0
110,99292,2002-05-22,0.0
111,99292,2002-05-23,0.0
112,99292,2002-05-24,0.0
113,99292,2002-05-25,0.0
114,99292,2002-05-26,4.0
115,99292,2002-05-27,0.0
116,99292,2002-05-28,0.0
117,99292,2002-05-29,0.0
118,99292,2002-05-30,0.0
119,99292,2002-05-31,0.0
120,99292,2002-06-01,0.0
121,99292,2002-06-02,0.0
122,99292,2002-06-03,0.0
123,99292,2002-06-04,0.0
124,99292,2002-06-05,0.0
125,99292,2002-06-06,0.0
126,99292,2002-06-07,0.0
127,99292,2002-06-08,0.0
128,99292,2002-06-09,0.0
129,99292,2002-06-10,0.0
130,99292,2002-06-11,0.0
131,99292,2002-06-12,0.0
132,99292,2002-06-13,0.0
133,99292,2002-06-14,0.0
134,99292,2002-06-15,0.0
135,99292,2002-06-16,0.0
136,99292,2002-06-17,0.0
137,99292,2002-06-18,0.0
138,99292,2002-06-19,0.0
139,99292,2002-06-20,0.2
140,99292,2002-06-21,0.0
141,99292,2002-06-22,0.0
142,99292,2002-06-23,0.0
143,99292,2002-06-24,0.0
144,99292,2002-06-25,0.0
145,99292,2002-06-26,0.0
146,99292,2002-06-27,0.0
147,99292,2002-06-28,0.0
148,99292,2002-06-29,0.0
149,99292,2002-06-30,0.0
150,99292,2002-07-01,0.0
151,99292,2002-07-02,0.0
152,99292,2002-07-03,0.0
153,99292,2002-07-04,0.0
154,99292,2002-07-05,0.0
155,99292,2002-07-06,0.0
156,99292,2002-07-07,0.0
157,99292,2002-07-08,0.0
158,99292,2002-07-09,0.0
159,99292,2002-07-10,0.0
160,99292,2002-07-11,0.0
161,99292,2002-07-12,0.0
162,99292,2002-07-13,0.0
163,99292,2002-07-14,0.0
164,99292,2002-07-15,0.0
165,99292,2002-07-16,0.0
166,99292,2002-07-17,0.0
167,99292,2002-07-18,0.0
168,99292,2002-07-19,0.0
169,99292,2002-07-20,0.0
170,99292,2002-07-21,0.0
171,99292,2002-07-22,4.0
172,99292,2002-07-23,0.01
173,99292,2002-07-24,0.0
174,99292,2002-07-25,0.0
175,99292,2002-07-26,0.0
176,99292,2002-07-27,0.0
177,99292,2002-07-28,0.0
178,99292,2002-07-29,0.0
179,99292,2002-07-30,0.0
180,99292,2002-07-31,0.0
181,99292,2002-08-01,0.0
182,99292,2002-08-02,0.0
183,99292,2002-08-03,0.0
184,99292,2002-08-04,0.0
185,99292,2002-08-05,0.0
186,99292,2002-08-06,0.0
187,99292,2002-08-07,0.0
188,99292,2002-08-08,0.0
189,99292,2002-08-09,0.0
190,99292,2002-08-10,0.0
191,99292,2002-08-11,0.0
192,99292,2002-08-12,0.0
193,99292,2002-08-13,0.0
194,99292,2002-08-14,0.0
195,99292,2002-08-15,0.0
196,99292,2002-08-16,0.0
197,99292,2002-08-17,0.0
198,99292,2002-08-18,0.0
199,99292,2002-08-19,0.0
200,99292,2002-08-20,0.0
201,99292,2002-08-21,0.0
202,99292,2002-08-22,0.0
203,99292,2002-08-23,0.0
204,99292,2002-08-24,0.0
205,99292,2002-08-25,0.0
206,99292,2002-08-26,0.0
207,99292,2002-08-27,0.0
208,99292,2002-08-28,0.0
209,99292,2002-08-29,0.0
210,99292,2002-08-30,0.0
211,99292,2002-08-31,0.0
212,99292,2002-09-01,0.0
213,99292,2002-09-02,0.0
214,99292,2002-09-03,0.0
215,99292,2002-09-04,0.0
216,99292,2002-09-05,0.0
217,99292,2002-09-06,0.0
218,99292,2002-09-07,0.0
219,99292,2002-09-08,0.0
220,99292,2002-09-09,0.0
221,99292,2002-09-10,0.0
222,99292,2002-09-11,0.0
223,99292,2002-09-12,0.0
224,99292,2002-09-13,0.0
225,99292,2002-09-14,0.0
226,99292,2002-09-15,0.0
227,99292,2002-09-16,0.0
228,99292,2002-09-17,0.0
229,99292,2002-09-18,0.0
230,99292,2002-09-19,0.0
231,99292,2002-09-20,0.0
232,99292,2002-09-21,0.0
233,99292,2002-09-22,0.0
234,99292,2002-09-23,0.0
235,99292,2002-09-24,0.0
236,99292,2002-09-25,0.0
237,99292,2002-09-26,0.0
238,99292,2002-09-27,0.0
239,99292,2002-09-28,0.0
240,99292,2002-09-29,0.0
241,99292,2002-09-30,0.0
242,99292,2002-10-01,0.0
243,99292,2002-10-02,0.0
244,99292,2002-10-03,0.0
245,99292,2002-10-04,0.01
246,99292,2002-10-05,3.0
247,99292,2002-10-06,0.0
248,99292,2002-10-07,0.0
249,99292,2002-10-08,0.0
250,99292,2002-10-09,0.0
251,99292,2002-10-10,0.0
252,99292,2002-10-11,0.0
253,99292,2002-10-12,0.0
254,99292,2002-10-13,0.0
255,99292,2002-10-14,0.0
256,99292,2002-10-15,0.0
257,99292,2002-10-16,0.0
258,99292,2002-10-17,0.0
259,99292,2002-10-18,0.01
260,99292,2002-10-19,0.01
261,99292,2002-10-20,3.01
262,99292,2002-10-21,4.0
263,99292,2002-10-22,0.0
264,99292,2002-10-23,0.0
265,99292,2002-10-24,0.0
266,99292,2002-10-25,0.0
267,99292,2002-10-26,0.0
268,99292,2002-10-27,0.0
269,99292,2002-10-28,0.0
270,99292,2002-10-29,0.0
271,99292,2002-10-30,0.0
272,99292,2002-10-31,0.0
273,99292,2002-11-01,5.0
274,99292,2002-11-02,0.0
275,99292,2002-11-03,0.0
276,99292,2002-11-04,0.0
277,99292,2002-11-05,0.0
278,99292,2002-11-06,0.0
279,99292,2002-11-07,0.0
280,99292,2002-11-08,0.0
281,99292,2002-11-09,0.0
282,99292,2002-11-10,0.0
283,99292,2002-11-11,0.01
284,99292,2002-11-12,0.0
285,99292,2002-11-13,1.0
286,99292,2002-11-14,0.01
287,99292,2002-11-15,0.0
288,99292,2002-11-16,0.0
289,99292,2002-11-17,0.0
290,99292,2002-11-18,0.0
291,99292,2002-11-19,0.0
292,99292,2002-11-20,0.0
293,99292,2002-11-21,0.0
294,99292,2002-11-22,0.0
295,99292,2002-11-23,0.0
296,99292,2002-11-24,0.0
297,99292,2002-11-25,23.0
298,99292,2002-11-26,1.0
299,99292,2002-11-27,0.0
300,99292,2002-11-28,0.0
301,99292,2002-11-29,0.0
302,99292,2002-11-30,0.0
303,99292,2002-12-01,10.0
304,99292,2002-12-02,0.0
305,99292,2002-12-03,0.0
306,99292,2002-12-04,0.0
307,99292,2002-12-05,0.0
308,99292,2002-12-06,0.0
309,99292,2002-12-07,0.0
310,99292,2002-12-08,6.0
311,99292,2002-12-09,14.4
312,99292,2002-12-10,26.0
313,99292,2002-12-11,0.0
314,99292,2002-12-12,3.0
315,99292,2002-12-13,5.0
316,99292,2002-12-14,1.0
317,99292,2002-12-15,0.0
318,99292,2002-12-16,0.6
319,99292,2002-12-17,3.0
320,99292,2002-12-18,0.01
321,99292,2002-12-19,3.0
322,99292,2002-12-20,0.4
323,99292,2002-12-21,20.0
324,99292,2002-12-22,1.0
325,99292,2002-12-23,0.0
326,99292,2002-12-24,0.0
327,99292,2002-12-25,0.01
328,99292,2002-12-26,0.0
329,99292,2002-12-27,0.0
330,99292,2002-12-28,0.0
331,99292,2002-12-29,0.0
332,99292,2002-12-30,0.0
333,99292,2002-12-31,0.0
334,99292,2003-01-01,0.0
335,99292,2003-01-02,0.0
336,99292,2003-01-03,0.0
337,99292,2003-01-04,0.0
338,99292,2003-01-05,0.0
339,99292,2003-01-06,0.2
340,99292,2003-01-07,0.0
341,99292,2003-01-08,0.0
342,99292,2003-01-09,0.0
343,99292,2003-01-10,0.0
344,99292,2003-01-11,0.0
345,99292,2003-01-12,0.0
346,99292,2003-01-13,0.0
347,99292,2003-01-14,0.0
348,99292,2003-01-15,0.0
349,99292,2003-01-16,21.0
350,99292,2003-01-17,0.2
351,99292,2003-01-18,0.0
352,99292,2003-01-19,0.0
353,99292,2003-01-20,0.0
354,99292,2003-01-21,0.0
355,99292,2003-01-22,2.2
356,99292,2003-01-23,0.0
357,99292,2003-01-24,0.0
358,99292,2003-01-25,0.0
359,99292,2003-01-26,0.0
360,99292,2003-01-27,0.0
361,99292,2003-01-28,8.0
362,99292,2003-01-29,0.9
363,99292,2003-01-30,0.0
364,99292,2003-01-31,0.0
365,99292,2003-02-01,0.0
366,99292,2003-02-02,0.0
367,99292,2003-02-03,0.0
368,99292,2003-02-04,2.0
369,99292,2003-02-05,0.0
370,99292,2003-02-06,0.0
371,99292,2003-02-07,0.0
372,99292,2003-02-08,0.0
373,99292,2003-02-09,0.0
374,99292,2003-02-10,0.0
375,99292,2003-02-11,1.0
376,99292,2003-02-12,0.0
377,99292,2003-02-13,4.2
378,99292,2003-02-14,8.0
379,99292,2003-02-15,2.0
380,99292,2003-02-16,1.01
381,99292,2003-02-17,16.0
382,99292,2003-02-18,0.0
383,99292,2003-02-19,0.7
384,99292,2003-02-20,0.9
385,99292,2003-02-21,0.0
386,99292,2003-02-22,0.0
387,99292,2003-02-23,0.0
388,99292,2003-02-24,0.0
