,stationid,datetime,rrr24
0,99278,2001-11-01,0.0
1,99278,2001-11-02,0.0
2,99278,2001-11-03,0.0
3,99278,2001-11-04,0.0
4,99278,2001-11-05,0.4
5,99278,2001-11-06,1.0
6,99278,2001-11-07,4.0
7,99278,2001-11-08,0.01
8,99278,2001-11-09,0.0
9,99278,2001-11-10,0.0
10,99278,2001-11-11,7.0
11,99278,2001-11-12,0.01
12,99278,2001-11-13,0.0
13,99278,2001-11-14,0.01
14,99278,2001-11-15,0.0
15,99278,2001-11-16,0.0
16,99278,2001-11-17,0.0
17,99278,2001-11-18,5.9
18,99278,2001-11-19,3.0
19,99278,2001-11-20,0.0
20,99278,2001-11-21,0.0
21,99278,2001-11-22,5.0
22,99278,2001-11-23,0.0
23,99278,2001-11-24,0.0
24,99278,2001-11-25,0.0
25,99278,2001-11-26,0.0
26,99278,2001-11-27,0.0
27,99278,2001-11-28,0.0
28,99278,2001-11-29,0.0
29,99278,2001-11-30,0.0
30,99278,2001-12-01,3.1
31,99278,2001-12-02,1.0
32,99278,2001-12-03,0.0
33,99278,2001-12-04,16.0
34,99278,2001-12-05,2.0
35,99278,2001-12-06,1.0
36,99278,2001-12-07,0.0
37,99278,2001-12-08,6.0
38,99278,2001-12-09,0.0
39,99278,2001-12-10,0.0
40,99278,2001-12-11,0.0
41,99278,2001-12-12,0.0
42,99278,2001-12-13,0.3
43,99278,2001-12-14,0.0
44,99278,2001-12-15,0.0
45,99278,2001-12-16,0.0
46,99278,2001-12-17,0.0
47,99278,2001-12-18,0.0
48,99278,2001-12-19,0.0
49,99278,2001-12-20,2.0
50,99278,2001-12-21,0.0
51,99278,2001-12-22,0.0
52,99278,2001-12-23,0.0
53,99278,2001-12-24,0.0
54,99278,2001-12-25,0.0
55,99278,2001-12-26,0.0
56,99278,2001-12-27,0.0
57,99278,2001-12-28,0.0
58,99278,2001-12-29,3.0
59,99278,2001-12-30,18.0
60,99278,2001-12-31,0.0
61,99278,2002-01-01,0.0
62,99278,2002-01-02,0.0
63,99278,2002-01-03,3.0
64,99278,2002-01-04,17.0
65,99278,2002-01-05,0.0
66,99278,2002-01-06,0.3
67,99278,2002-01-07,10.01
68,99278,2002-01-08,0.6
69,99278,2002-01-09,0.0
70,99278,2002-01-10,0.0
71,99278,2002-01-11,0.0
72,99278,2002-01-12,0.01
73,99278,2002-01-13,0.0
74,99278,2002-01-14,0.0
75,99278,2002-01-15,0.0
76,99278,2002-01-16,0.0
77,99278,2002-01-17,0.0
78,99278,2002-01-18,0.0
79,99278,2002-01-19,0.0
80,99278,2002-01-20,0.0
81,99278,2002-01-21,0.0
82,99278,2002-01-22,0.0
83,99278,2002-01-23,18.0
84,99278,2002-01-24,0.1
85,99278,2002-01-25,0.0
86,99278,2002-01-26,0.0
87,99278,2002-01-27,0.0
88,99278,2002-01-28,0.1
89,99278,2002-01-29,5.3
90,99278,2002-01-30,0.0
91,99278,2002-01-31,0.0
92,99278,2002-02-01,0.0
93,99278,2002-02-02,0.0
94,99278,2002-02-03,0.0
95,99278,2002-02-04,0.0
96,99278,2002-02-05,0.0
97,99278,2002-02-06,0.0
98,99278,2002-02-07,0.0
99,99278,2002-02-08,0.0
100,99278,2002-02-09,0.0
101,99278,2002-02-10,0.0
102,99278,2002-02-11,0.0
103,99278,2002-02-12,11.0
104,99278,2002-02-13,1.0
105,99278,2002-02-14,0.0
106,99278,2002-02-15,0.0
107,99278,2002-02-16,0.0
108,99278,2002-02-17,0.0
109,99278,2002-02-18,0.0
110,99278,2002-02-19,0.0
111,99278,2002-02-20,0.0
112,99278,2002-02-21,0.0
113,99278,2002-02-22,0.0
114,99278,2002-02-23,0.0
115,99278,2002-02-24,0.0
116,99278,2002-02-25,3.0
117,99278,2002-02-26,0.4
118,99278,2002-02-27,2.0
119,99278,2002-02-28,0.0
120,99278,2002-03-01,0.0
121,99278,2002-03-02,0.0
122,99278,2002-03-03,0.0
123,99278,2002-03-04,0.0
124,99278,2002-03-05,0.0
125,99278,2002-03-06,0.0
126,99278,2002-03-07,0.0
127,99278,2002-03-08,0.0
128,99278,2002-03-09,0.0
129,99278,2002-03-10,0.0
130,99278,2002-03-11,0.0
131,99278,2002-03-12,0.0
132,99278,2002-03-13,0.0
133,99278,2002-03-14,0.0
134,99278,2002-03-15,14.0
135,99278,2002-03-16,0.0
136,99278,2002-03-17,0.0
137,99278,2002-03-18,15.0
138,99278,2002-03-19,4.0
139,99278,2002-03-20,16.0
140,99278,2002-03-21,16.0
141,99278,2002-03-22,10.0
142,99278,2002-03-23,0.0
143,99278,2002-03-24,0.0
144,99278,2002-03-25,0.0
145,99278,2002-03-26,0.0
146,99278,2002-03-27,4.0
147,99278,2002-03-28,0.0
148,99278,2002-03-29,0.0
149,99278,2002-03-30,2.0
150,99278,2002-03-31,0.0
151,99278,2002-04-01,0.0
152,99278,2002-04-02,4.5
153,99278,2002-04-03,9.01
154,99278,2002-04-04,0.0
155,99278,2002-04-05,0.0
156,99278,2002-04-06,0.0
157,99278,2002-04-07,12.4
158,99278,2002-04-08,0.0
159,99278,2002-04-09,0.0
160,99278,2002-04-10,0.0
161,99278,2002-04-11,0.0
162,99278,2002-04-12,0.0
163,99278,2002-04-13,0.0
164,99278,2002-04-14,0.0
165,99278,2002-04-15,0.0
166,99278,2002-04-16,0.0
167,99278,2002-04-17,2.0
168,99278,2002-04-18,16.0
169,99278,2002-04-19,11.0
170,99278,2002-04-20,0.0
