,stationid,datetime,rrr24
0,99288,2006-01-01,0.0
1,99288,2006-01-02,0.0
2,99288,2006-01-03,0.0
3,99288,2006-01-04,0.0
4,99288,2006-01-05,0.0
5,99288,2006-01-06,0.0
6,99288,2006-01-07,2.01
7,99288,2006-01-08,8.0
8,99288,2006-01-09,2.01
9,99288,2006-01-10,6.0
10,99288,2006-01-11,5.0
11,99288,2006-01-12,8.0
12,99288,2006-01-13,2.0
13,99288,2006-01-14,1.01
14,99288,2006-01-15,1.0
15,99288,2006-01-16,0.0
16,99288,2006-01-17,0.0
17,99288,2006-01-18,0.0
18,99288,2006-01-19,0.01
19,99288,2006-01-20,0.0
20,99288,2006-01-21,3.0
21,99288,2006-01-22,0.0
22,99288,2006-01-23,0.0
23,99288,2006-01-24,0.0
24,99288,2006-01-25,0.0
25,99288,2006-01-26,2.01
26,99288,2006-01-27,2.0
27,99288,2006-01-28,1.0
28,99288,2006-01-29,0.0
29,99288,2006-01-30,0.0
30,99288,2006-01-31,1.0
31,99288,2006-02-01,0.0
32,99288,2006-02-02,0.0
33,99288,2006-02-03,16.0
34,99288,2006-02-04,0.0
35,99288,2006-02-05,0.0
36,99288,2006-02-06,0.0
37,99288,2006-02-07,0.01
38,99288,2006-02-08,13.0
39,99288,2006-02-09,29.6
40,99288,2006-02-10,10.0
41,99288,2006-02-11,0.0
42,99288,2006-02-12,0.0
43,99288,2006-02-13,0.0
44,99288,2006-02-14,1.4
45,99288,2006-02-15,6.0
46,99288,2006-02-16,10.0
47,99288,2006-02-17,3.0
48,99288,2006-02-18,0.0
49,99288,2006-02-19,0.0
50,99288,2006-02-20,0.0
51,99288,2006-02-21,0.0
52,99288,2006-02-22,0.0
53,99288,2006-02-23,0.0
54,99288,2006-02-24,0.0
55,99288,2006-02-25,0.0
56,99288,2006-02-26,0.0
57,99288,2006-02-27,0.3
58,99288,2006-02-28,0.5
59,99288,2006-03-01,0.0
60,99288,2006-03-02,0.0
61,99288,2006-03-03,0.0
62,99288,2006-03-04,1.1
63,99288,2006-03-05,0.0
64,99288,2006-03-06,0.0
65,99288,2006-03-07,0.0
66,99288,2006-03-08,0.0
67,99288,2006-03-09,1.0
68,99288,2006-03-10,5.0
69,99288,2006-03-11,0.0
70,99288,2006-03-12,0.0
71,99288,2006-03-13,0.0
72,99288,2006-03-14,0.0
73,99288,2006-03-15,0.0
74,99288,2006-03-16,0.7
75,99288,2006-03-17,0.0
76,99288,2006-03-18,0.0
77,99288,2006-03-19,12.0
78,99288,2006-03-20,24.0
79,99288,2006-03-21,0.0
80,99288,2006-03-22,1.0
81,99288,2006-03-23,0.2
82,99288,2006-03-24,0.0
83,99288,2006-03-25,0.0
84,99288,2006-03-26,0.0
85,99288,2006-03-27,0.0
86,99288,2006-03-28,0.0
87,99288,2006-03-29,4.0
88,99288,2006-03-30,4.0
89,99288,2006-03-31,0.0
90,99288,2006-04-01,0.0
91,99288,2006-04-02,0.0
92,99288,2006-04-03,8.0
93,99288,2006-04-04,3.0
94,99288,2006-04-05,6.0
95,99288,2006-04-06,0.0
96,99288,2006-04-07,0.9
97,99288,2006-04-08,0.0
98,99288,2006-04-09,0.0
99,99288,2006-04-10,0.0
100,99288,2006-04-11,0.0
101,99288,2006-04-12,29.0
102,99288,2006-04-13,0.0
103,99288,2006-04-14,0.0
104,99288,2006-04-15,0.0
105,99288,2006-04-16,0.8
106,99288,2006-04-17,3.2
107,99288,2006-04-18,37.0
108,99288,2006-04-19,0.0
109,99288,2006-04-20,0.0
110,99288,2006-04-21,0.0
111,99288,2006-04-22,2.0
112,99288,2006-04-23,0.0
113,99288,2006-04-24,0.01
114,99288,2006-04-25,16.0
115,99288,2006-04-26,0.0
116,99288,2006-04-27,6.01
117,99288,2006-04-28,0.0
118,99288,2006-04-29,0.0
119,99288,2006-04-30,2.0
120,99288,2006-05-01,0.0
121,99288,2006-05-02,0.0
122,99288,2006-05-03,0.8
123,99288,2006-05-04,4.0
124,99288,2006-05-05,13.0
125,99288,2006-05-06,1.0
126,99288,2006-05-07,4.0
127,99288,2006-05-08,1.5
128,99288,2006-05-09,0.2
129,99288,2006-05-10,0.0
130,99288,2006-05-11,0.0
131,99288,2006-05-12,0.0
132,99288,2006-05-13,0.0
133,99288,2006-05-14,0.0
134,99288,2006-05-15,0.0
135,99288,2006-05-16,0.0
136,99288,2006-05-17,0.0
137,99288,2006-05-18,0.0
138,99288,2006-05-19,0.0
