,stationid,datetime,rrr24
0,99203,2012-03-04,
1,99203,2012-03-05,0.0
2,99203,2012-03-06,0.0
3,99203,2012-03-07,0.0
4,99203,2012-03-08,0.0
5,99203,2012-03-09,0.0
6,99203,2012-03-10,0.0
7,99203,2012-03-11,0.0
8,99203,2012-03-12,4.0
9,99203,2012-03-13,0.0
10,99203,2012-03-14,0.0
11,99203,2012-03-15,2.0
12,99203,2012-03-16,0.0
13,99203,2012-03-17,0.0
14,99203,2012-03-18,0.0
15,99203,2012-03-19,0.0
16,99203,2012-03-20,0.0
17,99203,2012-03-21,0.0
18,99203,2012-03-22,0.0
19,99203,2012-03-23,0.0
20,99203,2012-03-24,0.0
21,99203,2012-03-25,0.0
22,99203,2012-03-26,0.0
23,99203,2012-03-27,2.0
24,99203,2012-03-28,0.0
25,99203,2012-03-29,0.0
26,99203,2012-03-30,0.0
27,99203,2012-03-31,0.0
28,99203,2012-04-01,0.0
29,99203,2012-04-02,0.0
30,99203,2012-04-03,0.0
31,99203,2012-04-04,0.0
32,99203,2012-04-05,0.0
33,99203,2012-04-06,0.0
34,99203,2012-04-07,0.0
35,99203,2012-04-08,0.0
36,99203,2012-04-09,0.0
37,99203,2012-04-10,0.0
38,99203,2012-04-11,0.0
39,99203,2012-04-12,2.0
40,99203,2012-04-13,0.0
41,99203,2012-04-14,0.0
42,99203,2012-04-15,0.0
43,99203,2012-04-16,0.0
44,99203,2012-04-17,7.0
45,99203,2012-04-18,0.0
46,99203,2012-04-19,0.0
47,99203,2012-04-20,3.0
48,99203,2012-04-21,0.0
49,99203,2012-04-22,0.0
50,99203,2012-04-23,0.0
51,99203,2012-04-24,0.0
52,99203,2012-04-25,0.0
53,99203,2012-04-26,0.0
54,99203,2012-04-27,0.0
55,99203,2012-04-28,0.0
56,99203,2012-04-29,18.0
57,99203,2012-04-30,0.0
58,99203,2012-05-01,0.0
59,99203,2012-05-02,0.0
60,99203,2012-05-03,1.0
61,99203,2012-05-04,0.0
62,99203,2012-05-05,0.0
63,99203,2012-05-06,0.0
64,99203,2012-05-07,0.0
65,99203,2012-05-08,0.0
66,99203,2012-05-09,0.0
67,99203,2012-05-10,0.0
68,99203,2012-05-11,0.0
69,99203,2012-05-12,0.0
70,99203,2012-05-13,0.0
71,99203,2012-05-14,4.0
72,99203,2012-05-15,0.0
73,99203,2012-05-16,0.0
74,99203,2012-05-17,0.0
75,99203,2012-05-18,0.0
76,99203,2012-05-19,0.0
77,99203,2012-05-20,0.0
78,99203,2012-05-21,0.0
79,99203,2012-05-22,0.0
80,99203,2012-05-23,0.0
81,99203,2012-05-24,0.0
82,99203,2012-05-25,0.0
83,99203,2012-05-26,0.0
84,99203,2012-05-27,0.0
85,99203,2012-05-28,
86,99203,2012-05-29,0.0
87,99203,2012-05-30,0.0
88,99203,2012-05-31,0.0
89,99203,2012-06-01,0.0
90,99203,2012-06-02,0.0
91,99203,2012-06-03,0.0
92,99203,2012-06-04,0.0
93,99203,2012-06-05,0.0
94,99203,2012-06-06,0.0
95,99203,2012-06-07,0.0
96,99203,2012-06-08,0.0
97,99203,2012-06-09,0.0
98,99203,2012-06-10,0.0
99,99203,2012-06-11,0.0
100,99203,2012-06-12,0.0
101,99203,2012-06-13,0.0
102,99203,2012-06-14,0.0
103,99203,2012-06-15,0.0
104,99203,2012-06-16,0.0
105,99203,2012-06-17,0.0
106,99203,2012-06-18,0.0
107,99203,2012-06-19,0.0
108,99203,2012-06-20,0.0
109,99203,2012-06-21,0.0
110,99203,2012-06-22,0.0
111,99203,2012-06-23,0.0
112,99203,2012-06-24,0.0
113,99203,2012-06-25,0.0
114,99203,2012-06-26,0.0
115,99203,2012-06-27,0.0
116,99203,2012-06-28,0.0
117,99203,2012-06-29,15.0
118,99203,2012-06-30,0.0
119,99203,2012-07-01,4.0
120,99203,2012-07-02,0.0
121,99203,2012-07-03,0.0
122,99203,2012-07-04,0.0
123,99203,2012-07-05,0.0
124,99203,2012-07-06,0.0
125,99203,2012-07-07,0.0
126,99203,2012-07-08,0.0
127,99203,2012-07-09,0.0
128,99203,2012-07-10,3.0
129,99203,2012-07-11,0.0
130,99203,2012-07-12,0.0
131,99203,2012-07-13,0.0
132,99203,2012-07-14,0.0
133,99203,2012-07-15,4.0
134,99203,2012-07-16,0.0
135,99203,2012-07-17,0.0
136,99203,2012-07-18,0.0
137,99203,2012-07-19,0.0
138,99203,2012-07-20,0.0
139,99203,2012-07-21,0.0
140,99203,2012-07-22,0.0
141,99203,2012-07-23,0.0
142,99203,2012-07-24,0.0
143,99203,2012-07-25,0.0
144,99203,2012-07-26,0.0
145,99203,2012-07-27,0.0
146,99203,2012-07-28,0.0
147,99203,2012-07-29,0.0
148,99203,2012-07-30,2.0
149,99203,2012-07-31,0.0
150,99203,2012-08-01,0.0
151,99203,2012-08-02,0.0
152,99203,2012-08-03,0.0
153,99203,2012-08-04,0.0
154,99203,2012-08-05,0.0
155,99203,2012-08-06,0.0
156,99203,2012-08-07,0.0
157,99203,2012-08-08,0.0
158,99203,2012-08-09,0.0
159,99203,2012-08-10,0.0
160,99203,2012-08-11,0.0
161,99203,2012-08-12,0.0
162,99203,2012-08-13,0.0
163,99203,2012-08-14,0.0
164,99203,2012-08-15,0.0
165,99203,2012-08-16,0.0
166,99203,2012-08-17,0.0
167,99203,2012-08-18,0.0
168,99203,2012-08-19,0.0
