,stationid,datetime,rrr24
0,40722,2001-11-01,0.0
1,40722,2001-11-02,0.0
2,40722,2001-11-03,0.0
3,40722,2001-11-04,0.0
4,40722,2001-11-05,0.01
5,40722,2001-11-06,0.7
6,40722,2001-11-07,0.51
7,40722,2001-11-08,0.0
8,40722,2001-11-09,0.0
9,40722,2001-11-10,0.0
10,40722,2001-11-11,5.0
11,40722,2001-11-12,0.01
12,40722,2001-11-13,0.0
13,40722,2001-11-14,0.0
14,40722,2001-11-15,0.0
15,40722,2001-11-16,0.0
16,40722,2001-11-17,0.0
17,40722,2001-11-18,1.9
18,40722,2001-11-19,0.0
19,40722,2001-11-20,0.0
20,40722,2001-11-21,0.0
21,40722,2001-11-22,0.0
22,40722,2001-11-23,0.0
23,40722,2001-11-24,0.0
24,40722,2001-11-25,0.0
25,40722,2001-11-26,0.0
26,40722,2001-11-27,0.11
27,40722,2001-11-28,0.0
28,40722,2001-11-29,0.0
29,40722,2001-11-30,0.0
30,40722,2001-12-01,0.0
31,40722,2001-12-02,1.0
32,40722,2001-12-03,0.0
33,40722,2001-12-04,6.0
34,40722,2001-12-05,0.0
35,40722,2001-12-06,1.0
36,40722,2001-12-07,0.0
37,40722,2001-12-08,2.01
38,40722,2001-12-09,0.0
39,40722,2001-12-10,0.0
40,40722,2001-12-11,0.02
41,40722,2001-12-12,0.0
42,40722,2001-12-13,0.0
43,40722,2001-12-14,0.0
44,40722,2001-12-15,0.0
45,40722,2001-12-16,0.0
46,40722,2001-12-17,0.0
47,40722,2001-12-18,0.0
48,40722,2001-12-19,0.0
49,40722,2001-12-20,2.0
50,40722,2001-12-21,0.0
51,40722,2001-12-22,0.0
52,40722,2001-12-23,0.0
53,40722,2001-12-24,0.0
54,40722,2001-12-25,0.0
55,40722,2001-12-26,0.0
56,40722,2001-12-27,0.0
57,40722,2001-12-28,0.6
58,40722,2001-12-29,0.21
59,40722,2001-12-30,0.9
60,40722,2001-12-31,0.0
61,40722,2002-01-01,0.0
62,40722,2002-01-02,0.0
63,40722,2002-01-03,0.0
64,40722,2002-01-04,0.0
65,40722,2002-01-05,0.0
66,40722,2002-01-06,0.0
67,40722,2002-01-07,9.0
68,40722,2002-01-08,0.1
69,40722,2002-01-09,0.0
70,40722,2002-01-10,0.01
71,40722,2002-01-11,0.0
72,40722,2002-01-12,0.0
73,40722,2002-01-13,0.0
74,40722,2002-01-14,0.0
75,40722,2002-01-15,0.0
76,40722,2002-01-16,0.0
77,40722,2002-01-17,0.0
78,40722,2002-01-18,0.0
79,40722,2002-01-19,0.0
80,40722,2002-01-20,0.0
81,40722,2002-01-21,0.0
82,40722,2002-01-22,0.0
83,40722,2002-01-23,2.0
84,40722,2002-01-24,0.0
85,40722,2002-01-25,0.0
86,40722,2002-01-26,0.0
87,40722,2002-01-27,0.0
88,40722,2002-01-28,0.0
89,40722,2002-01-29,1.0
90,40722,2002-01-30,0.0
91,40722,2002-01-31,0.0
92,40722,2002-02-01,0.0
93,40722,2002-02-02,0.0
94,40722,2002-02-03,0.0
95,40722,2002-02-04,0.0
96,40722,2002-02-05,0.0
97,40722,2002-02-06,0.0
98,40722,2002-02-07,0.0
99,40722,2002-02-08,0.0
100,40722,2002-02-09,0.0
101,40722,2002-02-10,0.0
102,40722,2002-02-11,0.0
103,40722,2002-02-12,2.9
104,40722,2002-02-13,0.0
105,40722,2002-02-14,0.0
106,40722,2002-02-15,0.0
107,40722,2002-02-16,0.3
108,40722,2002-02-17,0.0
109,40722,2002-02-18,0.0
110,40722,2002-02-19,0.0
111,40722,2002-02-20,0.0
112,40722,2002-02-21,0.0
113,40722,2002-02-22,0.0
114,40722,2002-02-23,0.0
115,40722,2002-02-24,0.0
116,40722,2002-02-25,0.0
117,40722,2002-02-26,0.0
118,40722,2002-02-27,7.0
119,40722,2002-02-28,0.0
120,40722,2002-03-01,0.0
121,40722,2002-03-02,0.0
122,40722,2002-03-03,0.0
123,40722,2002-03-04,0.0
124,40722,2002-03-05,0.0
125,40722,2002-03-06,0.0
126,40722,2002-03-07,0.0
127,40722,2002-03-08,0.0
128,40722,2002-03-09,0.0
