,stationid,datetime,rrr24
0,40725,1986-07-01,
1,40725,1986-07-02,0.0
2,40725,1986-07-03,0.0
3,40725,1986-07-04,0.0
4,40725,1986-07-05,0.0
5,40725,1986-07-06,0.0
6,40725,1986-07-07,0.0
7,40725,1986-07-08,0.0
8,40725,1986-07-09,0.0
9,40725,1986-07-10,0.0
10,40725,1986-07-11,0.0
11,40725,1986-07-12,0.0
12,40725,1986-07-13,0.0
13,40725,1986-07-14,0.0
14,40725,1986-07-15,0.0
15,40725,1986-07-16,0.0
16,40725,1986-07-17,0.0
17,40725,1986-07-18,0.0
18,40725,1986-07-19,0.0
19,40725,1986-07-20,0.0
20,40725,1986-07-21,0.0
21,40725,1986-07-22,0.0
22,40725,1986-07-23,0.0
23,40725,1986-07-24,0.0
24,40725,1986-07-25,0.0
25,40725,1986-07-26,0.0
26,40725,1986-07-27,0.0
27,40725,1986-07-28,0.0
28,40725,1986-07-29,0.0
29,40725,1986-07-30,0.0
30,40725,1986-07-31,0.0
31,40725,1986-08-01,0.0
32,40725,1986-08-02,0.0
33,40725,1986-08-03,0.0
34,40725,1986-08-04,0.0
35,40725,1986-08-05,0.0
36,40725,1986-08-06,0.0
37,40725,1986-08-07,0.0
38,40725,1986-08-08,0.0
39,40725,1986-08-09,0.0
40,40725,1986-08-10,0.0
41,40725,1986-08-11,0.0
42,40725,1986-08-12,0.0
43,40725,1986-08-13,0.0
44,40725,1986-08-14,0.0
45,40725,1986-08-15,0.0
46,40725,1986-08-16,0.0
47,40725,1986-08-17,0.0
48,40725,1986-08-18,0.0
49,40725,1986-08-19,0.0
50,40725,1986-08-20,0.0
51,40725,1986-08-21,0.0
52,40725,1986-08-22,0.0
53,40725,1986-08-23,0.0
54,40725,1986-08-24,0.0
55,40725,1986-08-25,0.0
56,40725,1986-08-26,0.0
57,40725,1986-08-27,0.0
58,40725,1986-08-28,0.0
59,40725,1986-08-29,0.0
60,40725,1986-08-30,0.0
61,40725,1986-08-31,0.0
62,40725,1986-09-01,0.0
63,40725,1986-09-02,0.0
64,40725,1986-09-03,0.0
65,40725,1986-09-04,0.0
66,40725,1986-09-05,0.0
67,40725,1986-09-06,0.0
68,40725,1986-09-07,0.0
69,40725,1986-09-08,0.0
70,40725,1986-09-09,0.0
71,40725,1986-09-10,0.0
72,40725,1986-09-11,0.0
73,40725,1986-09-12,0.0
74,40725,1986-09-13,0.0
75,40725,1986-09-14,0.0
76,40725,1986-09-15,0.0
77,40725,1986-09-16,0.0
78,40725,1986-09-17,0.01
79,40725,1986-09-18,0.0
80,40725,1986-09-19,0.0
81,40725,1986-09-20,0.0
82,40725,1986-09-21,0.0
83,40725,1986-09-22,0.0
84,40725,1986-09-23,0.0
85,40725,1986-09-24,0.0
86,40725,1986-09-25,0.0
87,40725,1986-09-26,0.0
88,40725,1986-09-27,0.0
89,40725,1986-09-28,0.0
90,40725,1986-09-29,0.0
91,40725,1986-09-30,0.0
92,40725,1986-10-01,8.0
93,40725,1986-10-02,0.0
94,40725,1986-10-03,0.3
95,40725,1986-10-04,0.0
96,40725,1986-10-05,0.0
97,40725,1986-10-06,0.0
98,40725,1986-10-07,1.0
99,40725,1986-10-08,0.0
100,40725,1986-10-09,1.0
101,40725,1986-10-10,8.0
102,40725,1986-10-11,0.0
103,40725,1986-10-12,0.0
104,40725,1986-10-13,0.0
105,40725,1986-10-14,0.0
