,stationid,datetime,rrr24
0,99314,2006-10-01,0.0
1,99314,2006-10-02,0.0
2,99314,2006-10-03,0.0
3,99314,2006-10-04,1.01
4,99314,2006-10-05,1.0
5,99314,2006-10-06,1.0
6,99314,2006-10-07,0.0
7,99314,2006-10-08,0.0
8,99314,2006-10-09,0.0
9,99314,2006-10-10,0.01
10,99314,2006-10-11,0.0
11,99314,2006-10-12,0.01
12,99314,2006-10-13,2.01
13,99314,2006-10-14,6.0
14,99314,2006-10-15,10.0
15,99314,2006-10-16,9.0
16,99314,2006-10-17,0.0
17,99314,2006-10-18,0.0
18,99314,2006-10-19,0.3
19,99314,2006-10-20,0.0
20,99314,2006-10-21,3.1
21,99314,2006-10-22,0.0
22,99314,2006-10-23,0.0
23,99314,2006-10-24,0.0
24,99314,2006-10-25,5.0
25,99314,2006-10-26,6.0
26,99314,2006-10-27,3.0
27,99314,2006-10-28,0.01
28,99314,2006-10-29,17.0
29,99314,2006-10-30,19.01
30,99314,2006-10-31,7.0
31,99314,2006-11-01,7.0
32,99314,2006-11-02,20.0
33,99314,2006-11-03,1.0
34,99314,2006-11-04,0.0
35,99314,2006-11-05,0.0
36,99314,2006-11-06,1.0
37,99314,2006-11-07,0.1
38,99314,2006-11-08,0.0
39,99314,2006-11-09,0.0
40,99314,2006-11-10,0.0
41,99314,2006-11-11,0.0
42,99314,2006-11-12,0.0
43,99314,2006-11-13,0.0
44,99314,2006-11-14,0.0
45,99314,2006-11-15,0.0
46,99314,2006-11-16,3.0
47,99314,2006-11-17,0.0
48,99314,2006-11-18,0.0
49,99314,2006-11-19,0.01
50,99314,2006-11-20,4.0
51,99314,2006-11-21,0.0
52,99314,2006-11-22,0.0
53,99314,2006-11-23,0.0
54,99314,2006-11-24,0.0
55,99314,2006-11-25,0.0
56,99314,2006-11-26,0.0
57,99314,2006-11-27,0.0
58,99314,2006-11-28,0.0
59,99314,2006-11-29,0.0
60,99314,2006-11-30,0.0
61,99314,2006-12-01,0.0
62,99314,2006-12-02,0.0
63,99314,2006-12-03,0.0
64,99314,2006-12-04,0.0
65,99314,2006-12-05,0.0
66,99314,2006-12-06,0.0
67,99314,2006-12-07,0.0
68,99314,2006-12-08,0.0
69,99314,2006-12-09,0.0
70,99314,2006-12-10,0.0
71,99314,2006-12-11,0.01
72,99314,2006-12-12,0.1
73,99314,2006-12-13,0.0
74,99314,2006-12-14,0.0
75,99314,2006-12-15,0.0
76,99314,2006-12-16,1.0
77,99314,2006-12-17,0.0
78,99314,2006-12-18,2.0
79,99314,2006-12-19,0.0
80,99314,2006-12-20,0.0
81,99314,2006-12-21,0.0
82,99314,2006-12-22,0.0
83,99314,2006-12-23,8.0
84,99314,2006-12-24,0.0
85,99314,2006-12-25,0.0
86,99314,2006-12-26,0.0
87,99314,2006-12-27,0.0
88,99314,2006-12-28,15.0
89,99314,2006-12-29,1.0
90,99314,2006-12-30,0.0
91,99314,2006-12-31,0.0
92,99314,2007-01-01,0.0
93,99314,2007-01-02,0.0
94,99314,2007-01-03,0.0
95,99314,2007-01-04,0.0
96,99314,2007-01-05,0.0
97,99314,2007-01-06,1.0
98,99314,2007-01-07,0.1
99,99314,2007-01-08,0.0
100,99314,2007-01-09,0.02
101,99314,2007-01-10,0.0
102,99314,2007-01-11,0.01
103,99314,2007-01-12,1.01
104,99314,2007-01-13,4.01
105,99314,2007-01-14,0.0
106,99314,2007-01-15,0.0
107,99314,2007-01-16,0.0
108,99314,2007-01-17,2.0
109,99314,2007-01-18,0.0
110,99314,2007-01-19,0.0
111,99314,2007-01-20,0.0
112,99314,2007-01-21,0.0
113,99314,2007-01-22,0.0
114,99314,2007-01-23,0.0
115,99314,2007-01-24,0.0
116,99314,2007-01-25,0.0
117,99314,2007-01-26,0.0
118,99314,2007-01-27,0.0
119,99314,2007-01-28,0.0
120,99314,2007-01-29,2.2
121,99314,2007-01-30,0.0
122,99314,2007-01-31,0.5
123,99314,2007-02-01,0.0
124,99314,2007-02-02,0.0
125,99314,2007-02-03,0.0
126,99314,2007-02-04,7.0
127,99314,2007-02-05,0.01
128,99314,2007-02-06,0.0
129,99314,2007-02-07,6.0
130,99314,2007-02-08,4.0
131,99314,2007-02-09,0.0
132,99314,2007-02-10,0.0
133,99314,2007-02-11,0.0
134,99314,2007-02-12,0.0
135,99314,2007-02-13,0.0
136,99314,2007-02-14,0.0
137,99314,2007-02-15,0.01
138,99314,2007-02-16,0.01
139,99314,2007-02-17,5.1
140,99314,2007-02-18,0.21
141,99314,2007-02-19,2.0
142,99314,2007-02-20,0.0
143,99314,2007-02-21,0.0
144,99314,2007-02-22,0.0
145,99314,2007-02-23,0.0
146,99314,2007-02-24,0.0
147,99314,2007-02-25,2.0
148,99314,2007-02-26,1.9
149,99314,2007-02-27,2.01
150,99314,2007-02-28,0.01
151,99314,2007-03-01,0.0
152,99314,2007-03-02,2.01
153,99314,2007-03-03,0.01
154,99314,2007-03-04,0.0
155,99314,2007-03-05,0.0
156,99314,2007-03-06,4.01
157,99314,2007-03-07,1.0
158,99314,2007-03-08,0.0
159,99314,2007-03-09,0.0
160,99314,2007-03-10,4.0
161,99314,2007-03-11,0.0
162,99314,2007-03-12,0.0
163,99314,2007-03-13,0.01
164,99314,2007-03-14,0.2
165,99314,2007-03-15,0.0
166,99314,2007-03-16,1.2
167,99314,2007-03-17,0.01
168,99314,2007-03-18,1.0
169,99314,2007-03-19,0.0
170,99314,2007-03-20,0.2
171,99314,2007-03-21,0.01
172,99314,2007-03-22,0.3
173,99314,2007-03-23,0.0
174,99314,2007-03-24,0.0
175,99314,2007-03-25,2.0
176,99314,2007-03-26,0.0
177,99314,2007-03-27,0.01
178,99314,2007-03-28,5.0
179,99314,2007-03-29,0.0
180,99314,2007-03-30,5.1
181,99314,2007-03-31,1.0
182,99314,2007-04-01,0.0
183,99314,2007-04-02,1.2
184,99314,2007-04-03,3.0
185,99314,2007-04-04,6.0
186,99314,2007-04-05,4.0
187,99314,2007-04-06,0.0
188,99314,2007-04-07,0.0
189,99314,2007-04-08,1.1
190,99314,2007-04-09,9.5
191,99314,2007-04-10,0.4
192,99314,2007-04-11,21.0
193,99314,2007-04-12,4.01
194,99314,2007-04-13,0.0
195,99314,2007-04-14,0.9
196,99314,2007-04-15,0.61
197,99314,2007-04-16,30.0
198,99314,2007-04-17,0.0
199,99314,2007-04-18,0.01
200,99314,2007-04-19,0.21
201,99314,2007-04-20,0.01
202,99314,2007-04-21,0.0
203,99314,2007-04-22,0.0
204,99314,2007-04-23,0.0
205,99314,2007-04-24,0.91
206,99314,2007-04-25,0.0
207,99314,2007-04-26,0.0
208,99314,2007-04-27,2.0
209,99314,2007-04-28,0.1
210,99314,2007-04-29,8.0
211,99314,2007-04-30,4.0
212,99314,2007-05-01,0.0
213,99314,2007-05-02,0.0
214,99314,2007-05-03,0.0
215,99314,2007-05-04,0.01
216,99314,2007-05-05,0.01
217,99314,2007-05-06,0.0
218,99314,2007-05-07,0.0
219,99314,2007-05-08,0.0
220,99314,2007-05-09,0.0
221,99314,2007-05-10,0.0
222,99314,2007-05-11,0.0
223,99314,2007-05-12,0.01
224,99314,2007-05-13,0.8
225,99314,2007-05-14,0.6
226,99314,2007-05-15,2.0
227,99314,2007-05-16,3.0
228,99314,2007-05-17,0.0
229,99314,2007-05-18,0.31
230,99314,2007-05-19,1.5
231,99314,2007-05-20,2.0
232,99314,2007-05-21,0.8
233,99314,2007-05-22,0.0
234,99314,2007-05-23,0.0
235,99314,2007-05-24,0.0
236,99314,2007-05-25,0.2
237,99314,2007-05-26,0.0
238,99314,2007-05-27,0.0
239,99314,2007-05-28,3.8
240,99314,2007-05-29,0.4
241,99314,2007-05-30,0.01
242,99314,2007-05-31,2.3
243,99314,2007-06-01,0.02
244,99314,2007-06-02,0.1
245,99314,2007-06-03,1.0
246,99314,2007-06-04,0.0
247,99314,2007-06-05,0.01
248,99314,2007-06-06,0.9
249,99314,2007-06-07,0.0
250,99314,2007-06-08,0.0
251,99314,2007-06-09,0.0
252,99314,2007-06-10,0.0
253,99314,2007-06-11,0.0
254,99314,2007-06-12,0.0
255,99314,2007-06-13,0.0
256,99314,2007-06-14,0.0
257,99314,2007-06-15,0.0
258,99314,2007-06-16,0.0
259,99314,2007-06-17,0.0
260,99314,2007-06-18,0.0
261,99314,2007-06-19,0.0
262,99314,2007-06-20,0.0
263,99314,2007-06-21,0.0
264,99314,2007-06-22,0.0
265,99314,2007-06-23,0.0
266,99314,2007-06-24,0.0
267,99314,2007-06-25,0.0
268,99314,2007-06-26,0.0
269,99314,2007-06-27,2.0
270,99314,2007-06-28,0.0
271,99314,2007-06-29,29.0
272,99314,2007-06-30,0.0
273,99314,2007-07-01,0.0
274,99314,2007-07-02,0.0
275,99314,2007-07-03,0.0
276,99314,2007-07-04,0.0
277,99314,2007-07-05,0.0
278,99314,2007-07-06,0.0
279,99314,2007-07-07,0.0
280,99314,2007-07-08,4.0
281,99314,2007-07-09,9.0
282,99314,2007-07-10,0.0
283,99314,2007-07-11,0.0
284,99314,2007-07-12,0.0
285,99314,2007-07-13,0.0
286,99314,2007-07-14,0.0
287,99314,2007-07-15,0.0
288,99314,2007-07-16,0.0
289,99314,2007-07-17,0.0
290,99314,2007-07-18,0.0
291,99314,2007-07-19,0.0
292,99314,2007-07-20,0.0
293,99314,2007-07-21,0.0
294,99314,2007-07-22,0.0
295,99314,2007-07-23,0.0
296,99314,2007-07-24,0.01
297,99314,2007-07-25,0.01
298,99314,2007-07-26,0.0
299,99314,2007-07-27,4.0
300,99314,2007-07-28,0.1
