,stationid,datetime,rrr24
0,40728,1986-01-01,0.0
1,40728,1986-01-02,0.0
2,40728,1986-01-03,0.0
3,40728,1986-01-04,0.01
4,40728,1986-01-05,0.0
5,40728,1986-01-06,0.0
6,40728,1986-01-07,0.0
7,40728,1986-01-08,2.0
8,40728,1986-01-09,0.01
9,40728,1986-01-10,0.0
10,40728,1986-01-11,0.0
11,40728,1986-01-12,0.0
12,40728,1986-01-13,1.0
13,40728,1986-01-14,0.0
14,40728,1986-01-15,0.01
15,40728,1986-01-16,0.0
16,40728,1986-01-17,0.0
17,40728,1986-01-18,0.01
18,40728,1986-01-19,0.0
19,40728,1986-01-20,3.4
20,40728,1986-01-21,0.0
21,40728,1986-01-22,0.01
22,40728,1986-01-23,2.0
23,40728,1986-01-24,0.0
24,40728,1986-01-25,0.0
25,40728,1986-01-26,0.0
26,40728,1986-01-27,0.0
27,40728,1986-01-28,0.0
28,40728,1986-01-29,0.0
29,40728,1986-01-30,0.01
30,40728,1986-01-31,5.0
31,40728,1986-02-01,0.0
32,40728,1986-02-02,0.0
33,40728,1986-02-03,0.0
34,40728,1986-02-04,2.0
35,40728,1986-02-05,0.0
36,40728,1986-02-06,12.0
37,40728,1986-02-07,0.0
38,40728,1986-02-08,0.0
39,40728,1986-02-09,0.0
40,40728,1986-02-10,11.0
41,40728,1986-02-11,0.0
42,40728,1986-02-12,0.0
43,40728,1986-02-13,0.0
44,40728,1986-02-14,3.0
45,40728,1986-02-15,17.0
46,40728,1986-02-16,6.0
47,40728,1986-02-17,4.0
48,40728,1986-02-18,0.0
49,40728,1986-02-19,0.0
50,40728,1986-02-20,0.0
51,40728,1986-02-21,0.0
52,40728,1986-02-22,0.0
53,40728,1986-02-23,0.0
54,40728,1986-02-24,0.0
55,40728,1986-02-25,0.0
56,40728,1986-02-26,0.0
57,40728,1986-02-27,0.0
58,40728,1986-02-28,0.0
59,40728,1986-03-01,0.0
60,40728,1986-03-02,0.0
61,40728,1986-03-03,0.0
62,40728,1986-03-04,0.0
63,40728,1986-03-05,0.0
64,40728,1986-03-06,7.0
65,40728,1986-03-07,7.5
66,40728,1986-03-08,7.0
67,40728,1986-03-09,0.0
68,40728,1986-03-10,0.0
69,40728,1986-03-11,0.0
70,40728,1986-03-12,0.0
71,40728,1986-03-13,0.0
72,40728,1986-03-14,1.0
73,40728,1986-03-15,0.0
74,40728,1986-03-16,0.0
75,40728,1986-03-17,0.0
76,40728,1986-03-18,0.7
77,40728,1986-03-19,0.3
78,40728,1986-03-20,1.0
79,40728,1986-03-21,0.9
80,40728,1986-03-22,0.0
81,40728,1986-03-23,0.0
82,40728,1986-03-24,16.0
83,40728,1986-03-25,0.0
84,40728,1986-03-26,0.01
85,40728,1986-03-27,0.0
86,40728,1986-03-28,0.0
87,40728,1986-03-29,0.0
88,40728,1986-03-30,0.0
89,40728,1986-03-31,19.0
90,40728,1986-04-01,9.0
91,40728,1986-04-02,0.0
92,40728,1986-04-03,19.0
93,40728,1986-04-04,0.9
94,40728,1986-04-05,0.0
95,40728,1986-04-06,40.0
96,40728,1986-04-07,0.0
97,40728,1986-04-08,6.0
98,40728,1986-04-09,6.2
99,40728,1986-04-10,6.0
100,40728,1986-04-11,5.0
101,40728,1986-04-12,0.7
102,40728,1986-04-13,0.0
103,40728,1986-04-14,0.0
104,40728,1986-04-15,0.0
105,40728,1986-04-16,6.0
106,40728,1986-04-17,4.0
107,40728,1986-04-18,0.0
108,40728,1986-04-19,12.0
109,40728,1986-04-20,0.0
110,40728,1986-04-21,0.0
111,40728,1986-04-22,0.0
112,40728,1986-04-23,0.0
113,40728,1986-04-24,1.0
114,40728,1986-04-25,0.0
115,40728,1986-04-26,5.0
116,40728,1986-04-27,0.5
117,40728,1986-04-28,0.0
118,40728,1986-04-29,1.0
119,40728,1986-04-30,5.0
120,40728,1986-05-01,1.4
121,40728,1986-05-02,16.0
122,40728,1986-05-03,30.0
123,40728,1986-05-04,41.0
124,40728,1986-05-05,5.8
125,40728,1986-05-06,2.0
126,40728,1986-05-07,0.0
127,40728,1986-05-08,0.2
128,40728,1986-05-09,1.0
129,40728,1986-05-10,12.0
130,40728,1986-05-11,0.0
131,40728,1986-05-12,0.0
132,40728,1986-05-13,0.0
133,40728,1986-05-14,0.0
134,40728,1986-05-15,0.1
135,40728,1986-05-16,3.0
136,40728,1986-05-17,0.0
137,40728,1986-05-18,0.0
138,40728,1986-05-20,0.0
139,40728,1986-05-21,10.0
140,40728,1986-05-22,5.0
141,40728,1986-05-23,0.0
142,40728,1986-05-24,0.0
143,40728,1986-05-25,0.0
144,40728,1986-05-26,0.0
145,40728,1986-05-27,0.0
146,40728,1986-05-28,0.0
147,40728,1986-05-29,0.01
148,40728,1986-05-30,0.0
149,40728,1986-05-31,0.0
150,40728,1986-06-01,0.0
151,40728,1986-06-02,0.0
152,40728,1986-06-03,0.0
153,40728,1986-06-04,0.0
154,40728,1986-06-05,0.0
155,40728,1986-06-06,0.0
156,40728,1986-06-07,0.0
157,40728,1986-06-08,2.0
158,40728,1986-06-09,8.01
159,40728,1986-06-10,0.01
160,40728,1986-06-11,0.01
161,40728,1986-06-12,0.0
162,40728,1986-06-13,0.0
163,40728,1986-06-14,0.0
164,40728,1986-06-15,0.0
165,40728,1986-06-16,2.2
166,40728,1986-06-17,0.0
167,40728,1986-06-18,0.0
168,40728,1986-06-19,0.2
169,40728,1986-06-20,2.9
170,40728,1986-06-21,1.0
171,40728,1986-06-22,0.0
172,40728,1986-06-23,0.0
173,40728,1986-06-24,0.0
174,40728,1986-06-25,0.0
175,40728,1986-06-26,0.0
176,40728,1986-06-27,0.0
177,40728,1986-06-28,0.0
178,40728,1986-06-29,0.0
179,40728,1986-06-30,0.0
180,40728,1986-07-01,0.0
181,40728,1986-07-02,0.0
182,40728,1986-07-03,0.0
183,40728,1986-07-04,0.0
184,40728,1986-07-05,0.0
185,40728,1986-07-06,0.0
186,40728,1986-07-07,0.0
187,40728,1986-07-08,0.0
188,40728,1986-07-09,0.0
189,40728,1986-07-10,0.0
190,40728,1986-07-11,0.0
191,40728,1986-07-12,0.0
192,40728,1986-07-13,0.0
193,40728,1986-07-14,0.0
194,40728,1986-07-15,0.0
195,40728,1986-07-16,0.0
196,40728,1986-07-17,0.0
197,40728,1986-07-18,0.0
198,40728,1986-07-19,0.0
199,40728,1986-07-20,0.0
200,40728,1986-07-21,0.0
201,40728,1986-07-22,0.0
202,40728,1986-07-23,0.0
203,40728,1986-07-24,0.0
204,40728,1986-07-25,0.0
205,40728,1986-07-26,0.0
206,40728,1986-07-27,0.01
207,40728,1986-07-28,0.0
208,40728,1986-07-29,0.0
209,40728,1986-07-30,0.0
210,40728,1986-07-31,0.0
211,40728,1986-08-01,0.0
212,40728,1986-08-02,0.0
213,40728,1986-08-03,0.0
214,40728,1986-08-04,0.0
215,40728,1986-08-05,0.0
216,40728,1986-08-06,0.0
217,40728,1986-08-07,0.01
218,40728,1986-08-08,0.0
219,40728,1986-08-09,0.0
220,40728,1986-08-10,0.0
221,40728,1986-08-11,0.0
222,40728,1986-08-12,0.0
223,40728,1986-08-13,0.0
224,40728,1986-08-14,0.0
225,40728,1986-08-15,0.0
226,40728,1986-08-16,0.0
227,40728,1986-08-17,0.0
228,40728,1986-08-18,0.0
229,40728,1986-08-19,0.0
230,40728,1986-08-20,0.0
231,40728,1986-08-21,0.0
232,40728,1986-08-22,0.0
233,40728,1986-08-23,0.0
234,40728,1986-08-24,0.01
235,40728,1986-08-25,0.5
236,40728,1986-08-26,0.0
237,40728,1986-08-27,0.0
238,40728,1986-08-28,0.0
239,40728,1986-08-29,0.0
240,40728,1986-08-30,0.0
241,40728,1986-08-31,0.0
242,40728,1986-09-01,0.0
243,40728,1986-09-02,0.0
244,40728,1986-09-03,0.0
245,40728,1986-09-04,0.0
246,40728,1986-09-05,0.0
247,40728,1986-09-06,0.0
248,40728,1986-09-07,0.0
249,40728,1986-09-08,0.0
250,40728,1986-09-09,0.0
251,40728,1986-09-10,0.0
252,40728,1986-09-11,0.0
253,40728,1986-09-12,0.0
254,40728,1986-09-13,0.0
255,40728,1986-09-14,0.0
256,40728,1986-09-15,0.0
257,40728,1986-09-16,0.0
258,40728,1986-09-17,0.8
259,40728,1986-09-18,0.0
260,40728,1986-09-19,0.0
261,40728,1986-09-20,0.0
262,40728,1986-09-21,0.0
263,40728,1986-09-22,0.0
264,40728,1986-09-23,0.0
265,40728,1986-09-24,0.0
266,40728,1986-09-25,0.0
267,40728,1986-09-26,0.0
268,40728,1986-09-27,0.0
269,40728,1986-09-28,0.0
270,40728,1986-09-29,0.0
271,40728,1986-09-30,0.0
272,40728,1986-10-01,10.0
273,40728,1986-10-02,0.0
274,40728,1986-10-03,6.0
275,40728,1986-10-04,0.0
276,40728,1986-10-05,0.0
277,40728,1986-10-06,0.0
278,40728,1986-10-07,3.0
279,40728,1986-10-08,0.0
280,40728,1986-10-09,0.9
281,40728,1986-10-10,16.0
282,40728,1986-10-11,0.0
283,40728,1986-10-12,0.0
284,40728,1986-10-13,0.0
285,40728,1986-10-14,0.0
286,40728,1986-10-15,0.0
287,40728,1986-10-16,0.0
288,40728,1986-10-17,0.0
289,40728,1986-10-18,0.0
290,40728,1986-10-19,0.0
291,40728,1986-10-20,0.0
292,40728,1986-10-21,0.01
293,40728,1986-10-22,0.6
294,40728,1986-10-23,4.2
295,40728,1986-10-24,2.0
296,40728,1986-10-25,0.0
297,40728,1986-10-26,0.0
298,40728,1986-10-27,0.0
299,40728,1986-10-28,0.0
300,40728,1986-10-29,0.0
301,40728,1986-10-30,0.0
302,40728,1986-10-31,0.0
303,40728,1986-11-01,0.1
304,40728,1986-11-02,1.1
305,40728,1986-11-03,10.0
306,40728,1986-11-04,21.0
307,40728,1986-11-05,0.0
308,40728,1986-11-06,1.0
309,40728,1986-11-07,11.1
310,40728,1986-11-08,15.0
311,40728,1986-11-09,4.0
312,40728,1986-11-10,8.0
313,40728,1986-11-11,5.1
314,40728,1986-11-12,0.1
315,40728,1986-11-13,0.0
