,stationid,datetime,rrr24
0,40712,1981-03-21,3.0
1,40712,1981-03-22,0.0
2,40712,1981-03-23,0.0
3,40712,1981-03-24,6.0
4,40712,1981-03-25,0.0
5,40712,1981-03-26,13.1
6,40712,1981-03-27,6.0
7,40712,1981-03-28,0.01
8,40712,1981-03-29,0.0
9,40712,1981-03-30,0.01
10,40712,1981-03-31,5.0
11,40712,1981-04-01,33.0
12,40712,1981-04-02,0.0
13,40712,1981-04-03,0.0
14,40712,1981-04-04,0.0
15,40712,1981-04-05,0.0
16,40712,1981-04-06,0.2
17,40712,1981-04-07,0.0
18,40712,1981-04-08,2.01
19,40712,1981-04-09,0.01
20,40712,1981-04-10,0.01
21,40712,1981-04-11,1.0
22,40712,1981-04-12,10.0
23,40712,1981-04-13,0.0
24,40712,1981-04-14,0.5
25,40712,1981-04-15,0.1
26,40712,1981-04-16,0.6
27,40712,1981-04-17,15.0
28,40712,1981-04-18,2.0
29,40712,1981-04-19,0.0
30,40712,1981-04-20,0.0
31,40712,1981-04-21,0.0
32,40712,1981-04-22,0.0
33,40712,1981-04-23,0.0
34,40712,1981-04-24,0.0
35,40712,1981-04-25,0.0
36,40712,1981-04-26,0.0
37,40712,1981-04-27,2.0
38,40712,1981-04-28,6.0
39,40712,1981-04-29,10.0
40,40712,1981-04-30,4.3
41,40712,1981-05-01,1.6
42,40712,1981-05-02,0.0
43,40712,1981-05-03,0.0
44,40712,1981-05-04,0.0
45,40712,1981-05-05,0.0
46,40712,1981-05-06,0.0
47,40712,1981-05-07,0.0
48,40712,1981-05-08,0.0
49,40712,1981-05-09,1.0
50,40712,1981-05-10,7.0
51,40712,1981-05-11,0.01
52,40712,1981-05-12,0.0
53,40712,1981-05-13,0.01
54,40712,1981-05-14,5.0
55,40712,1981-05-15,0.0
56,40712,1981-05-16,1.0
57,40712,1981-05-17,6.0
58,40712,1981-05-18,1.0
59,40712,1981-05-19,0.0
60,40712,1981-05-20,0.0
61,40712,1981-05-21,1.2
62,40712,1981-05-22,2.0
63,40712,1981-05-23,4.0
64,40712,1981-05-24,0.0
65,40712,1981-05-25,0.0
66,40712,1981-05-26,0.6
67,40712,1981-05-27,11.0
68,40712,1981-05-28,0.0
69,40712,1981-05-29,0.0
70,40712,1981-05-30,0.0
71,40712,1981-05-31,0.0
72,40712,1981-06-01,0.0
73,40712,1981-06-02,0.0
74,40712,1981-06-03,0.0
75,40712,1981-06-04,0.0
76,40712,1981-06-05,0.0
77,40712,1981-06-06,1.0
78,40712,1981-06-07,0.0
79,40712,1981-06-08,0.5
80,40712,1981-06-09,0.0
81,40712,1981-06-10,0.0
82,40712,1981-06-11,0.0
83,40712,1981-06-12,1.4
84,40712,1981-06-13,0.21
85,40712,1981-06-14,0.0
86,40712,1981-06-15,0.0
87,40712,1981-06-16,0.0
88,40712,1981-06-17,2.0
89,40712,1981-06-18,6.0
90,40712,1981-06-19,0.0
91,40712,1981-06-20,0.0
92,40712,1981-06-21,0.0
93,40712,1981-06-22,0.0
94,40712,1981-06-23,0.0
95,40712,1981-06-24,0.0
96,40712,1981-06-25,0.0
97,40712,1981-06-26,0.5
98,40712,1981-06-27,0.0
99,40712,1981-06-28,0.0
100,40712,1981-06-29,4.0
101,40712,1981-06-30,0.0
102,40712,1981-07-01,0.0
103,40712,1981-07-02,0.0
104,40712,1981-07-03,1.0
105,40712,1981-07-04,2.01
