,sal,rooz,Month,barandooz_Debi
0,1328,1,1,5.5
1,1328,2,1,5.3
2,1328,3,1,5.4
3,1328,4,1,5.5
4,1328,5,1,5.8
5,1328,6,1,6.3
6,1328,7,1,7.5
7,1328,8,1,7.9
8,1328,9,1,7.2
9,1328,10,1,6.9
10,1328,11,1,6.9
11,1328,12,1,6.5
12,1328,13,1,6.7
13,1328,14,1,5.7
14,1328,15,1,6.3
15,1328,16,1,5.9
16,1328,17,1,6.2
17,1328,18,1,6.7
18,1328,19,1,10.0
19,1328,20,1,9.7
20,1328,21,1,8.6
21,1328,22,1,8.7
22,1328,23,1,10.0
23,1328,24,1,11.0
24,1328,25,1,9.8
25,1328,26,1,8.1
26,1328,27,1,7.6
27,1328,28,1,8.0
28,1328,29,1,7.6
29,1328,30,1,8.0
30,1328,31,1,8.4
2170,1328,1,2,8.6
2171,1328,2,2,9.6
2172,1328,3,2,10.0
2173,1328,4,2,10.0
2174,1328,5,2,10.0
2175,1328,6,2,10.0
2176,1328,7,2,10.0
2177,1328,8,2,9.5
2178,1328,9,2,9.3
2179,1328,10,2,8.8
2180,1328,11,2,9.1
2181,1328,12,2,9.7
2182,1328,13,2,9.2
2183,1328,14,2,9.1
2184,1328,15,2,10.0
2185,1328,16,2,9.5
2186,1328,17,2,10.0
2187,1328,18,2,10.0
2188,1328,19,2,10.0
2189,1328,20,2,9.7
2190,1328,21,2,10.0
2191,1328,22,2,12.0
2192,1328,23,2,25.0
2193,1328,24,2,19.0
2194,1328,25,2,23.0
2195,1328,26,2,18.0
2196,1328,27,2,17.0
2197,1328,28,2,15.0
2198,1328,29,2,17.0
2199,1328,30,2,17.0
2200,1328,31,2,18.0
4340,1328,1,3,15.0
4341,1328,2,3,15.0
4342,1328,3,3,15.0
4343,1328,4,3,14.0
4344,1328,5,3,13.0
4345,1328,6,3,13.0
4346,1328,7,3,12.0
4347,1328,8,3,12.0
4348,1328,9,3,12.0
4349,1328,10,3,12.0
4350,1328,11,3,11.0
4351,1328,12,3,11.0
4352,1328,13,3,11.0
4353,1328,14,3,9.2
4354,1328,15,3,10.0
4355,1328,16,3,10.0
4356,1328,17,3,10.0
4357,1328,18,3,10.0
