,sal,rooz,Month,gadar_Debi
0,1336,1,1,16.0
1,1336,2,1,18.0
2,1336,3,1,19.0
3,1336,4,1,23.0
4,1336,5,1,31.0
5,1336,6,1,17.0
6,1336,7,1,15.0
7,1336,8,1,14.0
8,1336,9,1,14.0
9,1336,10,1,16.0
10,1336,11,1,17.0
11,1336,12,1,17.0
12,1336,13,1,21.0
13,1336,14,1,27.0
14,1336,15,1,29.0
15,1336,16,1,28.0
16,1336,17,1,26.0
17,1336,18,1,24.0
18,1336,19,1,22.0
19,1336,20,1,22.0
20,1336,21,1,24.0
21,1336,22,1,21.0
22,1336,23,1,18.0
23,1336,24,1,16.0
24,1336,25,1,16.0
25,1336,26,1,16.0
26,1336,27,1,16.0
27,1336,28,1,19.0
28,1336,29,1,47.0
29,1336,30,1,41.0
30,1336,31,1,43.0
1829,1336,1,2,40.0
1830,1336,2,2,38.0
1831,1336,3,2,37.0
1832,1336,4,2,20.0
1833,1336,5,2,19.0
1834,1336,6,2,18.0
1835,1336,7,2,19.0
1836,1336,8,2,20.0
1837,1336,9,2,21.0
1838,1336,10,2,23.0
1839,1336,11,2,24.0
1840,1336,12,2,22.0
1841,1336,13,2,18.0
1842,1336,14,2,17.0
1843,1336,15,2,17.0
1844,1336,16,2,16.0
1845,1336,17,2,15.0
1846,1336,18,2,14.0
1847,1336,19,2,13.0
1848,1336,20,2,13.0
1849,1336,21,2,14.0
1850,1336,22,2,14.0
1851,1336,23,2,14.0
1852,1336,24,2,15.0
1853,1336,25,2,16.0
1854,1336,26,2,17.0
1855,1336,27,2,20.0
1856,1336,28,2,21.0
1857,1336,29,2,21.0
1858,1336,30,2,21.0
1859,1336,31,2,20.0
3658,1336,1,3,21.0
3659,1336,2,3,21.0
3660,1336,3,3,20.0
3661,1336,4,3,20.0
3662,1336,5,3,18.0
3663,1336,6,3,18.0
3664,1336,7,3,16.0
3665,1336,8,3,15.0
3666,1336,9,3,27.0
3667,1336,10,3,28.0
3668,1336,11,3,26.0
3669,1336,12,3,25.0
3670,1336,13,3,25.0
3671,1336,14,3,23.0
3672,1336,15,3,24.0
3673,1336,16,3,22.0
3674,1336,17,3,21.0
3675,1336,18,3,19.0
3676,1336,19,3,17.0
3677,1336,20,3,16.0
3678,1336,21,3,14.0
3679,1336,22,3,12.0
3680,1336,23,3,13.0
3681,1336,24,3,12.0
3682,1336,25,3,12.0
3683,1336,26,3,12.0
3684,1336,27,3,11.0
3685,1336,28,3,9.4
3686,1336,29,3,7.2
3687,1336,30,3,6.2
3688,1336,31,3,4.3
5487,1336,1,4,5.8
5488,1336,2,4,4.1
5489,1336,3,4,3.9
5490,1336,4,4,3.4
5491,1336,5,4,2.8
5492,1336,6,4,1.7
5493,1336,7,4,1.1
5494,1336,8,4,1.0
5495,1336,9,4,0.93
5496,1336,10,4,0.89
5497,1336,11,4,0.88
5498,1336,12,4,0.89
5499,1336,13,4,0.76
5500,1336,14,4,0.76
5501,1336,15,4,0.68
5502,1336,16,4,0.72
5503,1336,17,4,0.72
5504,1336,18,4,0.72
