,sal,rooz,Month,mahabad_Debi
0,1368,1,1,1.52
1,1368,2,1,1.17
2,1368,3,1,1.94
3,1368,4,1,1.14
4,1368,5,1,1.94
5,1368,6,1,2.04
6,1368,7,1,2.55
7,1368,8,1,2.14
8,1368,9,1,1.94
9,1368,10,1,1.83
10,1368,11,1,1.62
11,1368,12,1,1.52
12,1368,13,1,2.4
13,1368,14,1,5.64
14,1368,15,1,25.18
15,1368,16,1,8.25
16,1368,17,1,17.38
17,1368,18,1,37.43
18,1368,19,1,39.88
19,1368,20,1,22.24
20,1368,21,1,17.43
21,1368,22,1,17.43
22,1368,23,1,21.65
23,1368,24,1,30.82
24,1368,25,1,82.89
25,1368,26,1,38.02
26,1368,27,1,23.97
27,1368,28,1,25.5
28,1368,29,1,22.02
29,1368,30,1,8.85
30,1368,31,1,8.85
961,1368,1,2,8.25
962,1368,2,2,8.25
963,1368,3,2,7.35
964,1368,4,2,7.65
965,1368,5,2,6.61
966,1368,6,2,6.37
967,1368,7,2,2.72
968,1368,8,2,5.87
969,1368,9,2,6.37
970,1368,10,2,29.41
971,1368,11,2,4.7
972,1368,12,2,4.33
973,1368,13,2,8.9
974,1368,14,2,3.95
975,1368,15,2,3.57
976,1368,16,2,2.18
977,1368,17,2,2.05
978,1368,18,2,1.42
979,1368,19,2,0.98
980,1368,20,2,0.69
981,1368,21,2,0.72
982,1368,22,2,0.78
983,1368,23,2,0.6
984,1368,24,2,0.54
985,1368,25,2,0.58
986,1368,26,2,0.75
987,1368,27,2,0.9
988,1368,28,2,0.9
989,1368,29,2,0.81
990,1368,30,2,0.87
991,1368,31,2,0.9
1922,1368,1,3,1.05
1923,1368,2,3,0.98
1924,1368,3,3,0.98
1925,1368,4,3,0.9
1926,1368,5,3,0.98
1927,1368,6,3,1.2
1928,1368,7,3,0.63
1929,1368,8,3,0.54
1930,1368,9,3,0.81
1931,1368,10,3,1.65
1932,1368,11,3,2.59
1933,1368,12,3,2.72
1934,1368,13,3,2.05
1935,1368,14,3,2.32
1936,1368,15,3,2.18
1937,1368,16,3,2.32
1938,1368,17,3,2.59
1939,1368,18,3,2.46
1940,1368,19,3,3.57
1941,1368,20,3,3.0
1942,1368,21,3,2.86
1943,1368,22,3,3.19
1944,1368,23,3,2.72
1945,1368,24,3,2.59
1946,1368,25,3,2.46
1947,1368,26,3,2.86
1948,1368,27,3,3.38
1949,1368,28,3,3.38
1950,1368,29,3,3.38
1951,1368,30,3,2.72
1952,1368,31,3,2.72
2883,1368,1,4,2.72
2884,1368,2,4,4.14
2885,1368,3,4,2.32
2886,1368,4,4,1.65
2887,1368,5,4,2.32
2888,1368,6,4,2.32
2889,1368,7,4,1.65
2890,1368,8,4,1.5
2891,1368,9,4,1.42
2892,1368,10,4,1.65
2893,1368,11,4,1.92
2894,1368,12,4,1.78
2895,1368,13,4,1.65
2896,1368,14,4,1.42
2897,1368,15,4,1.42
2898,1368,16,4,1.5
2899,1368,17,4,1.58
2900,1368,18,4,1.2
2901,1368,19,4,1.65
2902,1368,20,4,1.5
2903,1368,21,4,1.5
2904,1368,22,4,1.65
2905,1368,23,4,1.78
2906,1368,24,4,1.78
2907,1368,25,4,1.58
