,sal,rooz,Month,nazloo_Debi
0,1329,1,1,6.5
1,1329,2,1,6.6
2,1329,3,1,7.2
3,1329,4,1,7.0
4,1329,5,1,7.2
5,1329,6,1,7.6
6,1329,7,1,7.6
7,1329,8,1,8.0
8,1329,9,1,8.8
9,1329,10,1,10.0
10,1329,11,1,10.0
11,1329,12,1,10.0
12,1329,13,1,9.0
13,1329,14,1,8.8
14,1329,15,1,9.0
15,1329,16,1,9.6
16,1329,17,1,10.0
17,1329,18,1,10.0
18,1329,19,1,11.0
19,1329,20,1,10.0
20,1329,21,1,11.0
21,1329,22,1,10.0
22,1329,23,1,9.6
23,1329,24,1,9.6
24,1329,25,1,10.0
25,1329,26,1,9.6
26,1329,27,1,11.0
27,1329,28,1,11.0
28,1329,29,1,15.0
29,1329,30,1,23.0
30,1329,31,1,16.0
2077,1329,1,2,14.0
2078,1329,2,2,13.0
2079,1329,3,2,11.0
2080,1329,4,2,11.0
2081,1329,5,2,12.0
2082,1329,6,2,13.0
2083,1329,7,2,14.0
2084,1329,8,2,14.0
2085,1329,9,2,15.0
2086,1329,10,2,15.0
2087,1329,11,2,15.0
2088,1329,12,2,15.0
2089,1329,13,2,14.0
2090,1329,14,2,14.0
2091,1329,15,2,14.0
2092,1329,16,2,16.0
2093,1329,17,2,16.0
2094,1329,18,2,16.0
2095,1329,19,2,18.0
2096,1329,20,2,16.0
2097,1329,21,2,18.0
2098,1329,22,2,22.0
2099,1329,23,2,26.0
2100,1329,24,2,24.0
2101,1329,25,2,26.0
2102,1329,26,2,23.0
2103,1329,27,2,19.0
2104,1329,28,2,22.0
2105,1329,29,2,24.0
2106,1329,30,2,17.0
2107,1329,31,2,17.0
4154,1329,1,3,16.0
4155,1329,2,3,19.0
4156,1329,3,3,16.0
4157,1329,4,3,16.0
4158,1329,5,3,15.0
4159,1329,6,3,15.0
4160,1329,7,3,15.0
4161,1329,8,3,14.0
4162,1329,9,3,14.0
4163,1329,10,3,14.0
4164,1329,11,3,14.0
4165,1329,12,3,15.0
4166,1329,13,3,14.0
4167,1329,14,3,14.0
4168,1329,15,3,13.0
4169,1329,16,3,12.0
4170,1329,17,3,11.0
4171,1329,18,3,11.0
4172,1329,19,3,10.0
4173,1329,20,3,11.0
4174,1329,21,3,10.0
4175,1329,22,3,9.6
4176,1329,23,3,8.8
4177,1329,24,3,8.4
4178,1329,25,3,7.6
4179,1329,26,3,7.6
4180,1329,27,3,7.2
4181,1329,28,3,7.0
4182,1329,29,3,6.6
4183,1329,30,3,6.2
4184,1329,31,3,6.0
6231,1329,1,4,5.4
6232,1329,2,4,4.8
6233,1329,3,4,4.6
6234,1329,4,4,4.4
6235,1329,5,4,4.0
6236,1329,6,4,3.6
6237,1329,7,4,5.8
6238,1329,8,4,5.5
6239,1329,9,4,5.0
6240,1329,10,4,4.8
6241,1329,11,4,4.6
6242,1329,12,4,4.4
6243,1329,13,4,4.2
6244,1329,14,4,4.0
6245,1329,15,4,3.8
6246,1329,16,4,3.2
6247,1329,17,4,3.0
6248,1329,18,4,2.8
6249,1329,19,4,2.6
6250,1329,20,4,2.6
6251,1329,21,4,2.4
6252,1329,22,4,2.2
6253,1329,23,4,2.2
6254,1329,24,4,2.0
6255,1329,25,4,2.0
6256,1329,26,4,2.0
6257,1329,27,4,2.0
6258,1329,28,4,1.8
6259,1329,29,4,1.8
6260,1329,30,4,1.8
6261,1329,31,4,1.8
8308,1329,1,5,1.6
8309,1329,2,5,1.4
8310,1329,3,5,1.2
8311,1329,4,5,1.0
8312,1329,5,5,1.0
8313,1329,6,5,0.9
8314,1329,7,5,0.8
8315,1329,8,5,0.7
8316,1329,9,5,0.6
8317,1329,10,5,0.5
8318,1329,11,5,0.5
8319,1329,12,5,0.5
8320,1329,13,5,0.5
8321,1329,14,5,0.6
8322,1329,15,5,0.6
8323,1329,16,5,0.8
8324,1329,17,5,0.8
8325,1329,18,5,0.5
8326,1329,19,5,0.5
8327,1329,20,5,0.5
8328,1329,21,5,0.5
8329,1329,22,5,0.5
8330,1329,23,5,0.5
8331,1329,24,5,0.5
8332,1329,25,5,0.5
8333,1329,26,5,0.5
8334,1329,27,5,0.5
8335,1329,28,5,0.6
8336,1329,29,5,0.6
8337,1329,30,5,0.6
8338,1329,31,5,0.8
10385,1329,1,6,1.0
10386,1329,2,6,0.8
10387,1329,3,6,0.8
10388,1329,4,6,0.8
10389,1329,5,6,0.6
10390,1329,6,6,0.6
10391,1329,7,6,0.6
10392,1329,8,6,0.8
10393,1329,9,6,0.8
10394,1329,10,6,
10395,1329,11,6,0.8
10396,1329,12,6,1.0
10397,1329,13,6,1.0
10398,1329,14,6,1.2
10399,1329,15,6,1.4
10400,1329,16,6,1.4
10401,1329,17,6,1.2
10402,1329,18,6,1.4
10403,1329,19,6,1.0
10404,1329,20,6,8.0
10405,1329,21,6,0.6
10406,1329,22,6,0.6
10407,1329,23,6,0.8
10408,1329,24,6,0.65
10409,1329,25,6,0.6
10410,1329,26,6,0.6
10411,1329,27,6,0.5
10412,1329,28,6,0.8
10413,1329,29,6,1.0
10414,1329,30,6,1.0
10415,1329,31,6,1.0
12462,1329,1,7,2.0
12463,1329,2,7,2.0
12464,1329,3,7,2.0
12465,1329,4,7,1.6
12466,1329,5,7,1.7
12467,1329,6,7,2.0
12468,1329,7,7,2.0
12469,1329,8,7,2.0
12470,1329,9,7,2.0
12471,1329,10,7,2.0
12472,1329,11,7,2.0
12473,1329,12,7,2.1
12474,1329,13,7,2.2
12475,1329,14,7,1.6
12476,1329,15,7,1.6
12477,1329,16,7,1.7
12478,1329,17,7,1.7
12479,1329,18,7,1.6
12480,1329,19,7,1.6
12481,1329,20,7,1.6
12482,1329,21,7,1.7
12483,1329,22,7,1.7
12484,1329,23,7,1.6
12485,1329,24,7,1.7
12486,1329,25,7,1.7
12487,1329,26,7,1.7
12488,1329,27,7,1.6
12489,1329,28,7,1.7
12490,1329,29,7,2.0
12491,1329,30,7,4.4
12492,1329,31,7,
14539,1329,1,8,4.0
14540,1329,2,8,3.6
14541,1329,3,8,3.2
14542,1329,4,8,3.2
14543,1329,5,8,3.0
14544,1329,6,8,3.0
14545,1329,7,8,2.6
14546,1329,8,8,2.4
14547,1329,9,8,2.4
14548,1329,10,8,2.2
14549,1329,11,8,2.2
14550,1329,12,8,2.2
14551,1329,13,8,2.3
14552,1329,14,8,2.3
14553,1329,15,8,2.2
14554,1329,16,8,2.1
14555,1329,17,8,2.3
14556,1329,18,8,2.3
14557,1329,19,8,2.2
14558,1329,20,8,2.2
14559,1329,21,8,2.1
14560,1329,22,8,2.2
14561,1329,23,8,2.4
14562,1329,24,8,2.4
14563,1329,25,8,2.4
14564,1329,26,8,2.4
14565,1329,27,8,2.4
14566,1329,28,8,2.6
14567,1329,29,8,2.6
14568,1329,30,8,2.6
14569,1329,31,8,
16616,1329,1,9,2.6
16617,1329,2,9,3.0
16618,1329,3,9,3.0
16619,1329,4,9,3.0
16620,1329,5,9,3.0
16621,1329,6,9,3.0
16622,1329,7,9,3.0
16623,1329,8,9,2.6
16624,1329,9,9,3.0
16625,1329,10,9,3.0
16626,1329,11,9,2.6
16627,1329,12,9,3.0
16628,1329,13,9,3.0
16629,1329,14,9,3.0
16630,1329,15,9,3.0
16631,1329,16,9,3.0
16632,1329,17,9,3.0
16633,1329,18,9,3.0
16634,1329,19,9,3.0
16635,1329,20,9,3.0
16636,1329,21,9,3.0
16637,1329,22,9,2.6
16638,1329,23,9,2.6
16639,1329,24,9,2.6
16640,1329,25,9,2.6
16641,1329,26,9,2.6
16642,1329,27,9,2.6
16643,1329,28,9,2.6
16644,1329,29,9,2.6
16645,1329,30,9,2.6
16646,1329,31,9,
18693,1329,1,10,2.2
18694,1329,2,10,2.4
18695,1329,3,10,2.4
18696,1329,4,10,2.4
18697,1329,5,10,2.6
18698,1329,6,10,2.6
18699,1329,7,10,2.6
18700,1329,8,10,2.6
18701,1329,9,10,2.6
18702,1329,10,10,2.8
18703,1329,11,10,3.0
18704,1329,12,10,3.0
18705,1329,13,10,3.0
18706,1329,14,10,3.0
18707,1329,15,10,3.0
18708,1329,16,10,3.0
18709,1329,17,10,3.2
18710,1329,18,10,3.2
18711,1329,19,10,3.6
18712,1329,20,10,3.8
18713,1329,21,10,3.8
18714,1329,22,10,3.8
18715,1329,23,10,4.0
18716,1329,24,10,4.0
18717,1329,25,10,4.0
18718,1329,26,10,4.0
18719,1329,27,10,4.2
