,sal,rooz,Month,roozeh_Debi
0,1361,1,1,2.68
1,1361,2,1,2.98
2,1361,3,1,3.09
3,1361,4,1,3.49
4,1361,5,1,3.29
5,1361,6,1,3.7
6,1361,7,1,3.09
7,1361,8,1,3.09
8,1361,9,1,3.29
9,1361,10,1,3.7
10,1361,11,1,3.39
11,1361,12,1,3.09
12,1361,13,1,2.98
13,1361,14,1,3.39
14,1361,15,1,3.09
15,1361,16,1,3.7
16,1361,17,1,3.29
17,1361,18,1,3.91
18,1361,19,1,4.13
19,1361,20,1,3.8
20,1361,21,1,3.7
21,1361,22,1,3.39
22,1361,23,1,3.29
23,1361,24,1,3.6
24,1361,25,1,3.91
25,1361,26,1,3.7
26,1361,27,1,3.7
27,1361,28,1,4.46
28,1361,29,1,4.9
29,1361,30,1,5.24
30,1361,31,1,5.36
1178,1361,1,2,4.24
1179,1361,2,2,4.24
1180,1361,3,2,4.46
1181,1361,4,2,4.24
1182,1361,5,2,3.91
1183,1361,6,2,4.35
1184,1361,7,2,4.35
1185,1361,8,2,2.39
1186,1361,9,2,2.29
1187,1361,10,2,2.09
1188,1361,11,2,2.29
1189,1361,12,2,2.09
1190,1361,13,2,2.29
1191,1361,14,2,2.39
1192,1361,15,2,2.68
1193,1361,16,2,2.0
1194,1361,17,2,2.09
1195,1361,18,2,1.9
1196,1361,19,2,1.8
1197,1361,20,2,1.71
1198,1361,21,2,1.62
1199,1361,22,2,1.8
1200,1361,23,2,1.62
1201,1361,24,2,1.8
1202,1361,25,2,2.0
1203,1361,26,2,1.9
1204,1361,27,2,4.97
1205,1361,28,2,4.13
1206,1361,29,2,3.8
1207,1361,30,2,2.98
1208,1361,31,2,3.09
2356,1361,1,3,3.19
2357,1361,2,3,4.57
2358,1361,3,3,4.02
2359,1361,4,3,9.06
2360,1361,5,3,6.53
2361,1361,6,3,10.98
2362,1361,7,3,4.02
2363,1361,8,3,3.8
2364,1361,9,3,7.1
2365,1361,10,3,4.68
2366,1361,11,3,4.57
2367,1361,12,3,3.7
2368,1361,13,3,1.71
2369,1361,14,3,0.99
2370,1361,15,3,0.74
2371,1361,16,3,0.9
2372,1361,17,3,0.82
2373,1361,18,3,0.74
2374,1361,19,3,0.34
2375,1361,20,3,0.34
2376,1361,21,3,0.34
2377,1361,22,3,0.42
2378,1361,23,3,0.34
2379,1361,24,3,0.34
2380,1361,25,3,0.34
2381,1361,26,3,0.18
2382,1361,27,3,0.18
2383,1361,28,3,0.18
2384,1361,29,3,
2385,1361,30,3,0.1
2386,1361,31,3,
3534,1361,1,4,0.03
3535,1361,2,4,
3536,1361,3,4,0.03
3537,1361,4,4,0.1
3538,1361,5,4,
3539,1361,6,4,0.03
3540,1361,7,4,0.03
3541,1361,8,4,0.18
3542,1361,9,4,0.1
3543,1361,10,4,0.18
3544,1361,11,4,0.1
3545,1361,12,4,0.26
3546,1361,13,4,0.18
3547,1361,14,4,0.18
3548,1361,15,4,0.03
3549,1361,16,4,
3550,1361,17,4,0.18
3551,1361,18,4,0.1
3552,1361,19,4,0.03
3553,1361,20,4,
3554,1361,21,4,
3555,1361,22,4,0.03
3556,1361,23,4,
3557,1361,24,4,0.03
3558,1361,25,4,
3559,1361,26,4,0.03
3560,1361,27,4,
3561,1361,28,4,
3562,1361,29,4,0.03
3563,1361,30,4,
3564,1361,31,4,
4712,1361,1,5,
4713,1361,2,5,
4714,1361,3,5,
4715,1361,4,5,
4716,1361,5,5,
4717,1361,6,5,
4718,1361,7,5,
4719,1361,8,5,
4720,1361,9,5,
4721,1361,10,5,
4722,1361,11,5,
4723,1361,12,5,
4724,1361,13,5,
4725,1361,14,5,
4726,1361,15,5,
4727,1361,16,5,
4728,1361,17,5,
4729,1361,18,5,
4730,1361,19,5,
4731,1361,20,5,
4732,1361,21,5,
4733,1361,22,5,
4734,1361,23,5,
4735,1361,24,5,
4736,1361,25,5,
4737,1361,26,5,
4738,1361,27,5,
4739,1361,28,5,
4740,1361,29,5,
4741,1361,30,5,
4742,1361,31,5,
5890,1361,1,6,
5891,1361,2,6,
5892,1361,3,6,
5893,1361,4,6,
5894,1361,5,6,
5895,1361,6,6,
5896,1361,7,6,
5897,1361,8,6,
5898,1361,9,6,
5899,1361,10,6,
5900,1361,11,6,
5901,1361,12,6,
5902,1361,13,6,
5903,1361,14,6,
5904,1361,15,6,
5905,1361,16,6,
5906,1361,17,6,
5907,1361,18,6,
5908,1361,19,6,
5909,1361,20,6,
5910,1361,21,6,
5911,1361,22,6,
5912,1361,23,6,
5913,1361,24,6,
5914,1361,25,6,
5915,1361,26,6,
5916,1361,27,6,
5917,1361,28,6,
5918,1361,29,6,0.03
5919,1361,30,6,0.03
5920,1361,31,6,0.1
7068,1361,1,7,
7069,1361,2,7,
7070,1361,3,7,
7071,1361,4,7,
