,index,sal,rooz,Month,simineh_Debi
0,0,1343,1,1,29.0
1,1,1343,2,1,35.0
2,2,1343,3,1,36.0
3,3,1343,4,1,38.0
4,4,1343,5,1,43.0
5,5,1343,6,1,37.0
6,6,1343,7,1,35.0
7,7,1343,8,1,34.0
8,8,1343,9,1,43.0
9,9,1343,10,1,42.0
10,10,1343,11,1,43.0
11,11,1343,12,1,40.0
12,12,1343,13,1,37.0
13,13,1343,14,1,37.0
14,14,1343,15,1,39.0
15,15,1343,16,1,34.0
16,16,1343,17,1,30.0
17,17,1343,18,1,30.0
18,18,1343,19,1,27.0
19,19,1343,20,1,26.0
20,20,1343,21,1,26.0
21,21,1343,22,1,27.0
22,22,1343,23,1,26.0
23,23,1343,24,1,30.0
24,24,1343,25,1,38.0
25,25,1343,26,1,44.0
26,26,1343,27,1,44.0
27,27,1343,28,1,45.0
28,28,1343,29,1,46.0
29,29,1343,30,1,47.0
30,30,1343,31,1,89.0
31,1705,1343,1,2,89.0
32,1706,1343,2,2,106.0
33,1707,1343,3,2,91.0
34,1708,1343,4,2,69.0
35,1709,1343,5,2,63.0
36,1710,1343,6,2,56.0
37,1711,1343,7,2,54.0
38,1712,1343,8,2,52.0
39,1713,1343,9,2,51.0
40,1714,1343,10,2,43.0
41,1715,1343,11,2,73.0
42,1716,1343,12,2,83.0
43,1717,1343,13,2,68.0
44,1718,1343,14,2,60.0
45,1719,1343,15,2,63.0
46,1720,1343,16,2,55.0
47,1721,1343,17,2,49.0
48,1722,1343,18,2,45.0
49,1723,1343,19,2,41.0
50,1724,1343,20,2,37.0
51,1725,1343,21,2,34.0
52,1726,1343,22,2,30.0
53,1727,1343,23,2,30.0
54,1728,1343,24,2,27.0
55,1729,1343,25,2,28.0
56,1730,1343,26,2,23.0
57,1731,1343,27,2,22.0
58,1732,1343,28,2,20.0
59,1733,1343,29,2,20.0
60,1734,1343,30,2,15.0
61,1735,1343,31,2,15.0
62,3410,1343,1,3,13.0
63,3411,1343,2,3,11.0
64,3412,1343,3,3,11.0
65,3413,1343,4,3,14.0
66,3414,1343,5,3,15.0
67,3415,1343,6,3,15.0
68,3416,1343,7,3,11.0
69,3417,1343,8,3,11.0
70,3418,1343,9,3,11.0
71,3419,1343,10,3,11.0
72,3420,1343,11,3,11.0
73,3421,1343,12,3,11.0
74,3422,1343,13,3,11.0
75,3423,1343,14,3,11.0
76,3424,1343,15,3,11.0
77,3425,1343,16,3,11.0
78,3426,1343,17,3,11.0
79,3427,1343,18,3,11.0
80,3428,1343,19,3,11.0
81,3429,1343,20,3,11.0
82,3430,1343,21,3,8.3
83,3431,1343,22,3,6.7
84,3432,1343,23,3,2.7
85,3433,1343,24,3,1.4
86,3434,1343,25,3,1.1
87,3435,1343,26,3,0.97
88,3436,1343,27,3,0.97
89,3437,1343,28,3,0.85
90,3438,1343,29,3,0.97
91,3439,1343,30,3,1.0
92,3440,1343,31,3,1.1
93,5115,1343,1,4,1.1
94,5116,1343,2,4,1.1
95,5117,1343,3,4,1.1
96,5118,1343,4,4,1.1
97,5119,1343,5,4,1.1
98,5120,1343,6,4,1.1
99,5121,1343,7,4,1.1
100,5122,1343,8,4,1.1
101,5123,1343,9,4,0.97
102,5124,1343,10,4,0.97
103,5125,1343,11,4,0.97
104,5126,1343,12,4,1.1
105,5127,1343,13,4,1.1
106,5128,1343,14,4,1.1
107,5129,1343,15,4,1.1
108,5130,1343,16,4,0.47
109,5131,1343,17,4,0.47
110,5132,1343,18,4,0.47
111,5133,1343,19,4,0.47
112,5134,1343,20,4,0.47
113,5135,1343,21,4,0.47
114,5136,1343,22,4,0.47
115,5137,1343,23,4,0.47
116,5138,1343,24,4,0.47
117,5139,1343,25,4,0.47
118,5140,1343,26,4,0.35
119,5141,1343,27,4,0.35
120,5142,1343,28,4,0.35
121,5143,1343,29,4,0.35
122,5144,1343,30,4,0.35
123,5145,1343,31,4,0.35
124,6820,1343,1,5,0.35
125,6821,1343,2,5,0.35
126,6822,1343,3,5,0.35
127,6823,1343,4,5,0.35
128,6824,1343,5,5,0.35
129,6825,1343,6,5,0.35
130,6826,1343,7,5,0.35
131,6827,1343,8,5,0.35
132,6828,1343,9,5,0.35
133,6829,1343,10,5,0.35
134,6830,1343,11,5,0.35
135,6831,1343,12,5,0.35
136,6832,1343,13,5,0.35
137,6833,1343,14,5,0.35
138,6834,1343,15,5,0.47
139,6835,1343,16,5,0.6
140,6836,1343,17,5,0.6
141,6837,1343,18,5,0.6
142,6838,1343,19,5,0.6
143,6839,1343,20,5,0.47
144,6840,1343,21,5,0.47
145,6841,1343,22,5,0.47
146,6842,1343,23,5,0.41
147,6843,1343,24,5,0.35
148,6844,1343,25,5,0.35
149,6845,1343,26,5,0.27
150,6846,1343,27,5,0.27
151,6847,1343,28,5,0.15
152,6848,1343,29,5,0.15
153,6849,1343,30,5,0.35
154,6850,1343,31,5,0.35
155,8525,1343,1,6,0.47
156,8526,1343,2,6,0.35
157,8527,1343,3,6,0.35
158,8528,1343,4,6,0.35
159,8529,1343,5,6,0.35
160,8530,1343,6,6,0.35
161,8531,1343,7,6,0.35
162,8532,1343,8,6,0.35
163,8533,1343,9,6,0.35
164,8534,1343,10,6,0.35
165,8535,1343,11,6,0.35
166,8536,1343,12,6,0.35
167,8537,1343,13,6,0.35
168,8538,1343,14,6,0.35
169,8539,1343,15,6,0.35
170,8540,1343,16,6,0.35
171,8541,1343,17,6,0.35
172,8542,1343,18,6,0.35
173,8543,1343,19,6,0.35
174,8544,1343,20,6,0.6
175,8545,1343,21,6,0.6
176,8546,1343,22,6,0.6
177,8547,1343,23,6,0.6
178,8548,1343,24,6,0.6
179,8549,1343,25,6,0.6
180,8550,1343,26,6,0.6
181,8551,1343,27,6,0.6
182,8552,1343,28,6,0.6
183,8553,1343,29,6,0.35
184,8554,1343,30,6,0.35
185,8555,1343,31,6,0.35
186,10230,1343,1,7,
187,10231,1343,2,7,
188,10232,1343,3,7,
189,10233,1343,4,7,
190,10234,1343,5,7,
191,10235,1343,6,7,
192,10236,1343,7,7,
193,10237,1343,8,7,
194,10238,1343,9,7,
195,10239,1343,10,7,
196,10240,1343,11,7,
197,10241,1343,12,7,
198,10242,1343,13,7,
199,10243,1343,14,7,
200,10244,1343,15,7,
201,10245,1343,16,7,
202,10246,1343,17,7,
203,10247,1343,18,7,
204,10248,1343,19,7,
205,10249,1343,20,7,
206,10250,1343,21,7,
207,10251,1343,22,7,
208,10252,1343,23,7,
209,10253,1343,24,7,
210,10254,1343,25,7,
211,10255,1343,26,7,
212,10256,1343,27,7,
213,10257,1343,28,7,
214,10258,1343,29,7,
215,10259,1343,30,7,
216,10260,1343,31,7,
217,11935,1343,1,8,
218,11936,1343,2,8,
219,11937,1343,3,8,
220,11938,1343,4,8,
