,sal,rooz,Month,zarrineh_Debi
0,1369,1,1,40.1
1,1369,2,1,40.8
2,1369,3,1,45.0
3,1369,4,1,86.32
4,1369,5,1,113.3
5,1369,6,1,74.0
6,1369,7,1,58.0
7,1369,8,1,61.0
8,1369,9,1,64.0
9,1369,10,1,62.0
10,1369,11,1,62.0
11,1369,12,1,60.0
12,1369,13,1,54.0
13,1369,14,1,49.0
14,1369,15,1,124.92
15,1369,16,1,192.6
16,1369,17,1,158.2
17,1369,18,1,142.8
18,1369,19,1,137.4
19,1369,20,1,136.0
20,1369,21,1,142.8
21,1369,22,1,171.0
22,1369,23,1,205.4
23,1369,24,1,225.2
24,1369,25,1,223.5
25,1369,26,1,207.0
26,1369,27,1,210.1
27,1369,28,1,243.09
28,1369,29,1,323.61
29,1369,30,1,312.5
30,1369,31,1,310.0
899,1369,1,2,310.0
900,1369,2,2,291.6
901,1369,3,2,284.7
902,1369,4,2,144.2
903,1369,5,2,224.0
904,1369,6,2,226.0
905,1369,7,2,194.8
906,1369,8,2,184.0
907,1369,9,2,168.7
908,1369,10,2,149.2
909,1369,11,2,145.0
910,1369,12,2,130.2
911,1369,13,2,130.2
912,1369,14,2,121.2
913,1369,15,2,110.8
914,1369,16,2,103.6
915,1369,17,2,96.4
916,1369,18,2,90.4
917,1369,19,2,64.0
918,1369,20,2,49.0
919,1369,21,2,44.8
920,1369,22,2,39.2
921,1369,23,2,29.9
922,1369,24,2,29.9
923,1369,25,2,28.5
924,1369,26,2,20.2
925,1369,27,2,18.5
926,1369,28,2,18.0
927,1369,29,2,14.5
928,1369,30,2,12.5
929,1369,31,2,11.0
1798,1369,1,3,11.5
1799,1369,2,3,12.5
1800,1369,3,3,12.0
1801,1369,4,3,12.0
1802,1369,5,3,12.5
1803,1369,6,3,12.5
1804,1369,7,3,12.0
1805,1369,8,3,10.0
1806,1369,9,3,9.5
1807,1369,10,3,8.6
1808,1369,11,3,8.2
1809,1369,12,3,8.19
1810,1369,13,3,7.13
1811,1369,14,3,7.07
1812,1369,15,3,7.01
1813,1369,16,3,7.94
1814,1369,17,3,7.87
1815,1369,18,3,7.81
1816,1369,19,3,7.74
