,sal,rooz,Month,zola_Debi
0,1353,1,1,2.15
1,1353,2,1,2.28
2,1353,3,1,2.15
3,1353,4,1,2.15
4,1353,5,1,2.67
5,1353,6,1,2.03
6,1353,7,1,1.91
7,1353,8,1,1.91
8,1353,9,1,1.91
9,1353,10,1,1.79
10,1353,11,1,1.55
11,1353,12,1,1.11
12,1353,13,1,1.11
13,1353,14,1,1.0
14,1353,15,1,1.0
15,1353,16,1,0.4
16,1353,17,1,0.2
17,1353,18,1,0.1
18,1353,19,1,0.2
19,1353,20,1,0.1
20,1353,21,1,0.1
21,1353,22,1,
22,1353,23,1,
23,1353,24,1,
24,1353,25,1,
25,1353,26,1,
26,1353,27,1,
27,1353,28,1,
28,1353,29,1,
29,1353,30,1,
30,1353,31,1,0.1
1395,1353,1,2,0.1
1396,1353,2,2,0.1
1397,1353,3,2,0.8
1398,1353,4,2,4.14
1399,1353,5,2,3.98
1400,1353,6,2,3.82
1401,1353,7,2,3.82
1402,1353,8,2,4.3
1403,1353,9,2,3.5
1404,1353,10,2,3.08
1405,1353,11,2,2.54
1406,1353,12,2,2.03
1407,1353,13,2,1.79
1408,1353,14,2,1.44
1409,1353,15,2,1.22
1410,1353,16,2,8.15
1411,1353,17,2,5.67
1412,1353,18,2,7.1
1413,1353,19,2,6.89
1414,1353,20,2,7.33
1415,1353,21,2,6.89
1416,1353,22,2,6.26
1417,1353,23,2,39.34
1418,1353,24,2,14.7
1419,1353,25,2,12.98
1420,1353,26,2,11.0
1421,1353,27,2,9.05
1422,1353,28,2,8.89
1423,1353,29,2,8.89
1424,1353,30,2,7.1
1425,1353,31,2,7.1
2790,1353,1,3,7.33
2791,1353,2,3,6.89
2792,1353,3,3,6.26
2793,1353,4,3,5.85
2794,1353,5,3,4.94
2795,1353,6,3,4.3
2796,1353,7,3,3.66
2797,1353,8,3,3.36
2798,1353,9,3,3.08
2799,1353,10,3,2.8
2800,1353,11,3,2.41
2801,1353,12,3,1.79
2802,1353,13,3,1.0
2803,1353,14,3,0.9
2804,1353,15,3,0.8
2805,1353,16,3,0.7
2806,1353,17,3,0.5
2807,1353,18,3,0.4
2808,1353,19,3,0.2
2809,1353,20,3,0.1
2810,1353,21,3,
2811,1353,22,3,0.1
2812,1353,23,3,
2813,1353,24,3,0.1
2814,1353,25,3,
2815,1353,26,3,0.1
2816,1353,27,3,0.1
2817,1353,28,3,
2818,1353,29,3,0.1
2819,1353,30,3,0.1
2820,1353,31,3,1.44
4185,1353,1,4,
4186,1353,2,4,0.1
4187,1353,3,4,
4188,1353,4,4,
4189,1353,5,4,
4190,1353,6,4,0.1
4191,1353,7,4,
4192,1353,8,4,
4193,1353,9,4,
4194,1353,10,4,
4195,1353,11,4,
4196,1353,12,4,
4197,1353,13,4,
4198,1353,14,4,
4199,1353,15,4,
4200,1353,16,4,
4201,1353,17,4,
